date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-03,FR 9356,,Ryanair,2026-05-03T16:20:00.000,2026-05-03T17:00:00.000,CCF,BOH
2026-05-07,FR 9356,,Ryanair,2026-05-07T10:45:00.000,2026-05-07T11:25:00.000,CCF,BOH
2026-05-10,FR 9356,,Ryanair,2026-05-10T16:20:00.000,2026-05-10T17:00:00.000,CCF,BOH
2026-05-14,FR 9356,,Ryanair,2026-05-14T10:45:00.000,2026-05-14T11:25:00.000,CCF,BOH
2026-05-17,FR 9356,,Ryanair,2026-05-17T16:20:00.000,2026-05-17T17:00:00.000,CCF,BOH
2026-05-21,FR 9356,,Ryanair,2026-05-21T10:45:00.000,2026-05-21T11:25:00.000,CCF,BOH
2026-05-24,FR 9356,,Ryanair,2026-05-24T16:20:00.000,2026-05-24T17:00:00.000,CCF,BOH
2026-05-28,FR 9356,,Ryanair,2026-05-28T10:45:00.000,2026-05-28T11:25:00.000,CCF,BOH
2026-05-31,FR 9356,,Ryanair,2026-05-31T16:20:00.000,2026-05-31T17:00:00.000,CCF,BOH
2026-06-04,FR 9356,,Ryanair,2026-06-04T10:45:00.000,2026-06-04T11:25:00.000,CCF,BOH
2026-06-07,FR 9356,,Ryanair,2026-06-07T16:20:00.000,2026-06-07T17:00:00.000,CCF,BOH
2026-06-11,FR 9356,,Ryanair,2026-06-11T10:45:00.000,2026-06-11T11:25:00.000,CCF,BOH
2026-06-14,FR 9356,,Ryanair,2026-06-14T16:20:00.000,2026-06-14T17:00:00.000,CCF,BOH
2026-06-18,FR 9356,,Ryanair,2026-06-18T10:45:00.000,2026-06-18T11:25:00.000,CCF,BOH
2026-06-21,FR 9356,,Ryanair,2026-06-21T16:20:00.000,2026-06-21T17:00:00.000,CCF,BOH
2026-06-25,FR 9356,,Ryanair,2026-06-25T10:45:00.000,2026-06-25T11:25:00.000,CCF,BOH
2026-06-28,FR 9356,,Ryanair,2026-06-28T16:20:00.000,2026-06-28T17:00:00.000,CCF,BOH
2026-07-02,FR 9356,,Ryanair,2026-07-02T10:45:00.000,2026-07-02T11:25:00.000,CCF,BOH
2026-07-05,FR 9356,,Ryanair,2026-07-05T16:20:00.000,2026-07-05T17:00:00.000,CCF,BOH
2026-07-09,FR 9356,,Ryanair,2026-07-09T10:45:00.000,2026-07-09T11:25:00.000,CCF,BOH
2026-07-12,FR 9356,,Ryanair,2026-07-12T16:20:00.000,2026-07-12T17:00:00.000,CCF,BOH
2026-07-16,FR 9356,,Ryanair,2026-07-16T10:45:00.000,2026-07-16T11:25:00.000,CCF,BOH
2026-07-19,FR 9356,,Ryanair,2026-07-19T16:20:00.000,2026-07-19T17:00:00.000,CCF,BOH
2026-07-23,FR 9356,,Ryanair,2026-07-23T10:45:00.000,2026-07-23T11:25:00.000,CCF,BOH
2026-07-26,FR 9356,,Ryanair,2026-07-26T16:20:00.000,2026-07-26T17:00:00.000,CCF,BOH
2026-07-30,FR 9356,,Ryanair,2026-07-30T10:45:00.000,2026-07-30T11:25:00.000,CCF,BOH
2026-08-02,FR 9356,,Ryanair,2026-08-02T16:20:00.000,2026-08-02T17:00:00.000,CCF,BOH
2026-08-06,FR 9356,,Ryanair,2026-08-06T10:45:00.000,2026-08-06T11:25:00.000,CCF,BOH
2026-08-09,FR 9356,,Ryanair,2026-08-09T16:20:00.000,2026-08-09T17:00:00.000,CCF,BOH
2026-08-13,FR 9356,,Ryanair,2026-08-13T10:45:00.000,2026-08-13T11:25:00.000,CCF,BOH
2026-08-16,FR 9356,,Ryanair,2026-08-16T16:20:00.000,2026-08-16T17:00:00.000,CCF,BOH
2026-08-20,FR 9356,,Ryanair,2026-08-20T10:45:00.000,2026-08-20T11:25:00.000,CCF,BOH
2026-08-23,FR 9356,,Ryanair,2026-08-23T16:20:00.000,2026-08-23T17:00:00.000,CCF,BOH
2026-08-27,FR 9356,,Ryanair,2026-08-27T10:45:00.000,2026-08-27T11:25:00.000,CCF,BOH
2026-08-30,FR 9356,,Ryanair,2026-08-30T16:20:00.000,2026-08-30T17:00:00.000,CCF,BOH
