date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-05,FR 8945,,Ryanair,2026-06-05T18:55:00.000,2026-06-05T21:05:00.000,CHQ,BOH
2026-06-12,FR 8945,,Ryanair,2026-06-12T18:55:00.000,2026-06-12T21:05:00.000,CHQ,BOH
2026-06-19,FR 8945,,Ryanair,2026-06-19T18:55:00.000,2026-06-19T21:05:00.000,CHQ,BOH
2026-06-26,FR 8945,,Ryanair,2026-06-26T18:55:00.000,2026-06-26T21:05:00.000,CHQ,BOH
2026-07-03,FR 8945,,Ryanair,2026-07-03T18:55:00.000,2026-07-03T21:05:00.000,CHQ,BOH
2026-07-10,FR 8945,,Ryanair,2026-07-10T18:55:00.000,2026-07-10T21:05:00.000,CHQ,BOH
2026-07-17,FR 8945,,Ryanair,2026-07-17T18:55:00.000,2026-07-17T21:05:00.000,CHQ,BOH
2026-07-24,FR 8945,,Ryanair,2026-07-24T18:55:00.000,2026-07-24T21:05:00.000,CHQ,BOH
2026-07-31,FR 8945,,Ryanair,2026-07-31T18:55:00.000,2026-07-31T21:05:00.000,CHQ,BOH
2026-08-07,FR 8945,,Ryanair,2026-08-07T18:55:00.000,2026-08-07T21:05:00.000,CHQ,BOH
2026-08-14,FR 8945,,Ryanair,2026-08-14T18:55:00.000,2026-08-14T21:05:00.000,CHQ,BOH
2026-08-21,FR 8945,,Ryanair,2026-08-21T18:55:00.000,2026-08-21T21:05:00.000,CHQ,BOH
2026-08-28,FR 8945,,Ryanair,2026-08-28T18:55:00.000,2026-08-28T21:05:00.000,CHQ,BOH
