date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-03,FR 8947,,Ryanair,2026-05-03T13:15:00.000,2026-05-03T17:05:00.000,FUE,BOH
2026-05-05,FR 8947,,Ryanair,2026-05-05T11:05:00.000,2026-05-05T14:55:00.000,FUE,BOH
2026-05-10,FR 8947,,Ryanair,2026-05-10T13:15:00.000,2026-05-10T17:05:00.000,FUE,BOH
2026-05-12,FR 8947,,Ryanair,2026-05-12T11:05:00.000,2026-05-12T14:55:00.000,FUE,BOH
2026-05-17,FR 8947,,Ryanair,2026-05-17T13:15:00.000,2026-05-17T17:05:00.000,FUE,BOH
2026-05-19,FR 8947,,Ryanair,2026-05-19T11:05:00.000,2026-05-19T14:55:00.000,FUE,BOH
2026-05-24,FR 8947,,Ryanair,2026-05-24T13:15:00.000,2026-05-24T17:05:00.000,FUE,BOH
2026-05-26,FR 8947,,Ryanair,2026-05-26T11:05:00.000,2026-05-26T14:55:00.000,FUE,BOH
2026-05-31,FR 8947,,Ryanair,2026-05-31T13:15:00.000,2026-05-31T17:05:00.000,FUE,BOH
2026-06-02,FR 8947,,Ryanair,2026-06-02T11:05:00.000,2026-06-02T14:55:00.000,FUE,BOH
2026-06-07,FR 8947,,Ryanair,2026-06-07T13:15:00.000,2026-06-07T17:05:00.000,FUE,BOH
2026-06-09,FR 8947,,Ryanair,2026-06-09T11:05:00.000,2026-06-09T14:55:00.000,FUE,BOH
2026-06-14,FR 8947,,Ryanair,2026-06-14T13:15:00.000,2026-06-14T17:05:00.000,FUE,BOH
2026-06-16,FR 8947,,Ryanair,2026-06-16T11:05:00.000,2026-06-16T14:55:00.000,FUE,BOH
2026-06-21,FR 8947,,Ryanair,2026-06-21T13:15:00.000,2026-06-21T17:05:00.000,FUE,BOH
2026-06-23,FR 8947,,Ryanair,2026-06-23T11:05:00.000,2026-06-23T14:55:00.000,FUE,BOH
2026-06-28,FR 8947,,Ryanair,2026-06-28T13:15:00.000,2026-06-28T17:05:00.000,FUE,BOH
2026-06-30,FR 8947,,Ryanair,2026-06-30T11:05:00.000,2026-06-30T14:55:00.000,FUE,BOH
2026-07-05,FR 8947,,Ryanair,2026-07-05T13:15:00.000,2026-07-05T17:05:00.000,FUE,BOH
2026-07-07,FR 8947,,Ryanair,2026-07-07T11:05:00.000,2026-07-07T14:55:00.000,FUE,BOH
2026-07-12,FR 8947,,Ryanair,2026-07-12T13:15:00.000,2026-07-12T17:05:00.000,FUE,BOH
2026-07-14,FR 8947,,Ryanair,2026-07-14T11:05:00.000,2026-07-14T14:55:00.000,FUE,BOH
2026-07-19,FR 8947,,Ryanair,2026-07-19T13:15:00.000,2026-07-19T17:05:00.000,FUE,BOH
2026-07-21,FR 8947,,Ryanair,2026-07-21T11:05:00.000,2026-07-21T14:55:00.000,FUE,BOH
2026-07-26,FR 8947,,Ryanair,2026-07-26T13:15:00.000,2026-07-26T17:05:00.000,FUE,BOH
2026-07-28,FR 8947,,Ryanair,2026-07-28T11:05:00.000,2026-07-28T14:55:00.000,FUE,BOH
2026-08-02,FR 8947,,Ryanair,2026-08-02T13:15:00.000,2026-08-02T17:05:00.000,FUE,BOH
2026-08-04,FR 8947,,Ryanair,2026-08-04T11:05:00.000,2026-08-04T14:55:00.000,FUE,BOH
2026-08-09,FR 8947,,Ryanair,2026-08-09T13:15:00.000,2026-08-09T17:05:00.000,FUE,BOH
2026-08-11,FR 8947,,Ryanair,2026-08-11T11:05:00.000,2026-08-11T14:55:00.000,FUE,BOH
2026-08-16,FR 8947,,Ryanair,2026-08-16T13:15:00.000,2026-08-16T17:05:00.000,FUE,BOH
2026-08-18,FR 8947,,Ryanair,2026-08-18T11:05:00.000,2026-08-18T14:55:00.000,FUE,BOH
2026-08-23,FR 8947,,Ryanair,2026-08-23T13:15:00.000,2026-08-23T17:05:00.000,FUE,BOH
2026-08-25,FR 8947,,Ryanair,2026-08-25T11:05:00.000,2026-08-25T14:55:00.000,FUE,BOH
2026-08-30,FR 8947,,Ryanair,2026-08-30T13:15:00.000,2026-08-30T17:05:00.000,FUE,BOH
