date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 5524,,Ryanair,2026-05-02T20:00:00.000,2026-05-02T21:40:00.000,KRK,BOH
2026-05-03,FR 5724,Buzz,Ryanair,2026-05-03T06:10:00.000,2026-05-03T07:50:00.000,KRK,BOH
2026-05-06,FR 5524,Buzz,Ryanair,2026-05-06T07:20:00.000,2026-05-06T09:00:00.000,KRK,BOH
2026-05-09,FR 5524,,Ryanair,2026-05-09T20:00:00.000,2026-05-09T21:40:00.000,KRK,BOH
2026-05-10,FR 5724,Buzz,Ryanair,2026-05-10T06:10:00.000,2026-05-10T07:50:00.000,KRK,BOH
2026-05-13,FR 5524,Buzz,Ryanair,2026-05-13T07:20:00.000,2026-05-13T09:00:00.000,KRK,BOH
2026-05-16,FR 5524,,Ryanair,2026-05-16T20:00:00.000,2026-05-16T21:40:00.000,KRK,BOH
2026-05-17,FR 5724,Buzz,Ryanair,2026-05-17T06:10:00.000,2026-05-17T07:50:00.000,KRK,BOH
2026-05-20,FR 5524,Buzz,Ryanair,2026-05-20T07:20:00.000,2026-05-20T09:00:00.000,KRK,BOH
2026-05-23,FR 5524,,Ryanair,2026-05-23T20:00:00.000,2026-05-23T21:40:00.000,KRK,BOH
2026-05-24,FR 5724,Buzz,Ryanair,2026-05-24T06:10:00.000,2026-05-24T07:50:00.000,KRK,BOH
2026-05-27,FR 5524,Buzz,Ryanair,2026-05-27T07:20:00.000,2026-05-27T09:00:00.000,KRK,BOH
2026-05-30,FR 5524,,Ryanair,2026-05-30T20:00:00.000,2026-05-30T21:40:00.000,KRK,BOH
2026-05-31,FR 5724,Buzz,Ryanair,2026-05-31T06:10:00.000,2026-05-31T07:50:00.000,KRK,BOH
2026-06-03,FR 5524,Buzz,Ryanair,2026-06-03T07:20:00.000,2026-06-03T09:00:00.000,KRK,BOH
2026-06-06,FR 5524,,Ryanair,2026-06-06T20:00:00.000,2026-06-06T21:40:00.000,KRK,BOH
2026-06-07,FR 5724,Buzz,Ryanair,2026-06-07T06:20:00.000,2026-06-07T08:00:00.000,KRK,BOH
2026-06-10,FR 5524,Buzz,Ryanair,2026-06-10T07:20:00.000,2026-06-10T09:00:00.000,KRK,BOH
2026-06-13,FR 5524,,Ryanair,2026-06-13T20:00:00.000,2026-06-13T21:40:00.000,KRK,BOH
2026-06-14,FR 5724,Buzz,Ryanair,2026-06-14T06:20:00.000,2026-06-14T08:00:00.000,KRK,BOH
2026-06-17,FR 5524,Buzz,Ryanair,2026-06-17T07:20:00.000,2026-06-17T09:00:00.000,KRK,BOH
2026-06-20,FR 5524,,Ryanair,2026-06-20T20:00:00.000,2026-06-20T21:40:00.000,KRK,BOH
2026-06-21,FR 5724,Buzz,Ryanair,2026-06-21T06:20:00.000,2026-06-21T08:00:00.000,KRK,BOH
2026-06-24,FR 5524,Buzz,Ryanair,2026-06-24T07:20:00.000,2026-06-24T09:00:00.000,KRK,BOH
2026-06-27,FR 5524,,Ryanair,2026-06-27T20:00:00.000,2026-06-27T21:40:00.000,KRK,BOH
2026-06-28,FR 5724,Buzz,Ryanair,2026-06-28T06:20:00.000,2026-06-28T08:00:00.000,KRK,BOH
2026-07-01,FR 5524,Buzz,Ryanair,2026-07-01T07:20:00.000,2026-07-01T09:00:00.000,KRK,BOH
2026-07-04,FR 5524,,Ryanair,2026-07-04T20:00:00.000,2026-07-04T21:40:00.000,KRK,BOH
2026-07-05,FR 5724,Buzz,Ryanair,2026-07-05T06:20:00.000,2026-07-05T08:00:00.000,KRK,BOH
2026-07-08,FR 5524,Buzz,Ryanair,2026-07-08T07:20:00.000,2026-07-08T09:00:00.000,KRK,BOH
2026-07-11,FR 5524,,Ryanair,2026-07-11T20:00:00.000,2026-07-11T21:40:00.000,KRK,BOH
2026-07-12,FR 5724,Buzz,Ryanair,2026-07-12T06:20:00.000,2026-07-12T08:00:00.000,KRK,BOH
2026-07-15,FR 5524,Buzz,Ryanair,2026-07-15T07:20:00.000,2026-07-15T09:00:00.000,KRK,BOH
2026-07-18,FR 5524,,Ryanair,2026-07-18T20:00:00.000,2026-07-18T21:40:00.000,KRK,BOH
2026-07-19,FR 5724,Buzz,Ryanair,2026-07-19T06:20:00.000,2026-07-19T08:00:00.000,KRK,BOH
2026-07-22,FR 5524,Buzz,Ryanair,2026-07-22T07:20:00.000,2026-07-22T09:00:00.000,KRK,BOH
2026-07-25,FR 5524,,Ryanair,2026-07-25T20:00:00.000,2026-07-25T21:40:00.000,KRK,BOH
2026-07-26,FR 5724,Buzz,Ryanair,2026-07-26T06:20:00.000,2026-07-26T08:00:00.000,KRK,BOH
2026-07-29,FR 5524,Buzz,Ryanair,2026-07-29T07:20:00.000,2026-07-29T09:00:00.000,KRK,BOH
2026-08-01,FR 5524,,Ryanair,2026-08-01T20:00:00.000,2026-08-01T21:40:00.000,KRK,BOH
2026-08-02,FR 5724,Buzz,Ryanair,2026-08-02T06:20:00.000,2026-08-02T08:00:00.000,KRK,BOH
2026-08-05,FR 5524,Buzz,Ryanair,2026-08-05T07:20:00.000,2026-08-05T09:00:00.000,KRK,BOH
2026-08-08,FR 5524,,Ryanair,2026-08-08T20:00:00.000,2026-08-08T21:40:00.000,KRK,BOH
2026-08-09,FR 5724,Buzz,Ryanair,2026-08-09T06:20:00.000,2026-08-09T08:00:00.000,KRK,BOH
2026-08-12,FR 5524,Buzz,Ryanair,2026-08-12T07:20:00.000,2026-08-12T09:00:00.000,KRK,BOH
2026-08-15,FR 5524,,Ryanair,2026-08-15T20:00:00.000,2026-08-15T21:40:00.000,KRK,BOH
2026-08-16,FR 5724,Buzz,Ryanair,2026-08-16T06:20:00.000,2026-08-16T08:00:00.000,KRK,BOH
2026-08-19,FR 5524,Buzz,Ryanair,2026-08-19T07:20:00.000,2026-08-19T09:00:00.000,KRK,BOH
2026-08-22,FR 5524,,Ryanair,2026-08-22T20:00:00.000,2026-08-22T21:40:00.000,KRK,BOH
2026-08-23,FR 5724,Buzz,Ryanair,2026-08-23T06:20:00.000,2026-08-23T08:00:00.000,KRK,BOH
2026-08-26,FR 5524,Buzz,Ryanair,2026-08-26T07:20:00.000,2026-08-26T09:00:00.000,KRK,BOH
2026-08-29,FR 5524,,Ryanair,2026-08-29T20:00:00.000,2026-08-29T21:40:00.000,KRK,BOH
2026-08-30,FR 5724,Buzz,Ryanair,2026-08-30T06:20:00.000,2026-08-30T08:00:00.000,KRK,BOH
