date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-06,FR 6765,,Ryanair,2026-05-06T12:30:00.000,2026-05-06T16:25:00.000,LPA,BOH
2026-05-13,FR 6765,,Ryanair,2026-05-13T12:30:00.000,2026-05-13T16:25:00.000,LPA,BOH
2026-05-20,FR 6765,,Ryanair,2026-05-20T12:30:00.000,2026-05-20T16:25:00.000,LPA,BOH
2026-05-27,FR 6765,,Ryanair,2026-05-27T12:30:00.000,2026-05-27T16:25:00.000,LPA,BOH
2026-06-03,FR 6765,,Ryanair,2026-06-03T12:30:00.000,2026-06-03T16:25:00.000,LPA,BOH
2026-06-10,FR 6765,,Ryanair,2026-06-10T12:30:00.000,2026-06-10T16:25:00.000,LPA,BOH
2026-06-17,FR 6765,,Ryanair,2026-06-17T12:30:00.000,2026-06-17T16:25:00.000,LPA,BOH
2026-06-24,FR 6765,,Ryanair,2026-06-24T12:30:00.000,2026-06-24T16:25:00.000,LPA,BOH
2026-07-01,FR 6765,,Ryanair,2026-07-01T12:30:00.000,2026-07-01T16:25:00.000,LPA,BOH
2026-07-08,FR 6765,,Ryanair,2026-07-08T12:30:00.000,2026-07-08T16:25:00.000,LPA,BOH
2026-07-15,FR 6765,,Ryanair,2026-07-15T12:30:00.000,2026-07-15T16:25:00.000,LPA,BOH
2026-07-22,FR 6765,,Ryanair,2026-07-22T12:30:00.000,2026-07-22T16:25:00.000,LPA,BOH
2026-07-29,FR 6765,,Ryanair,2026-07-29T12:30:00.000,2026-07-29T16:25:00.000,LPA,BOH
2026-08-05,FR 6765,,Ryanair,2026-08-05T12:30:00.000,2026-08-05T16:25:00.000,LPA,BOH
2026-08-12,FR 6765,,Ryanair,2026-08-12T12:30:00.000,2026-08-12T16:25:00.000,LPA,BOH
2026-08-19,FR 6765,,Ryanair,2026-08-19T12:30:00.000,2026-08-19T16:25:00.000,LPA,BOH
2026-08-26,FR 6765,,Ryanair,2026-08-26T12:30:00.000,2026-08-26T16:25:00.000,LPA,BOH
