date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-01,FR 8315,,Ryanair,2026-05-01T11:15:00.000,2026-05-01T13:35:00.000,MLA,BOH
2026-05-02,FR 8315,Malta Air,Ryanair,2026-05-02T05:50:00.000,2026-05-02T08:10:00.000,MLA,BOH
2026-05-05,FR 8315,Malta Air,Ryanair,2026-05-05T18:25:00.000,2026-05-05T20:45:00.000,MLA,BOH
2026-05-08,FR 8315,,Ryanair,2026-05-08T11:15:00.000,2026-05-08T13:35:00.000,MLA,BOH
2026-05-09,FR 8315,Malta Air,Ryanair,2026-05-09T05:50:00.000,2026-05-09T08:10:00.000,MLA,BOH
2026-05-12,FR 8315,Malta Air,Ryanair,2026-05-12T18:25:00.000,2026-05-12T20:45:00.000,MLA,BOH
2026-05-15,FR 8315,,Ryanair,2026-05-15T11:15:00.000,2026-05-15T13:35:00.000,MLA,BOH
2026-05-16,FR 8315,Malta Air,Ryanair,2026-05-16T05:50:00.000,2026-05-16T08:10:00.000,MLA,BOH
2026-05-19,FR 8315,Malta Air,Ryanair,2026-05-19T18:25:00.000,2026-05-19T20:45:00.000,MLA,BOH
2026-05-22,FR 8315,,Ryanair,2026-05-22T11:15:00.000,2026-05-22T13:35:00.000,MLA,BOH
2026-05-23,FR 8315,Malta Air,Ryanair,2026-05-23T05:50:00.000,2026-05-23T08:10:00.000,MLA,BOH
2026-05-26,FR 8315,Malta Air,Ryanair,2026-05-26T18:25:00.000,2026-05-26T20:45:00.000,MLA,BOH
2026-05-29,FR 8315,,Ryanair,2026-05-29T11:15:00.000,2026-05-29T13:35:00.000,MLA,BOH
2026-05-30,FR 8315,Malta Air,Ryanair,2026-05-30T05:50:00.000,2026-05-30T08:10:00.000,MLA,BOH
2026-06-02,FR 8315,Malta Air,Ryanair,2026-06-02T18:25:00.000,2026-06-02T20:45:00.000,MLA,BOH
2026-06-05,FR 8315,,Ryanair,2026-06-05T11:15:00.000,2026-06-05T13:35:00.000,MLA,BOH
2026-06-06,FR 8315,Malta Air,Ryanair,2026-06-06T05:50:00.000,2026-06-06T08:10:00.000,MLA,BOH
2026-06-09,FR 8315,Malta Air,Ryanair,2026-06-09T18:25:00.000,2026-06-09T20:45:00.000,MLA,BOH
2026-06-12,FR 8315,,Ryanair,2026-06-12T11:15:00.000,2026-06-12T13:35:00.000,MLA,BOH
2026-06-13,FR 8315,Malta Air,Ryanair,2026-06-13T05:50:00.000,2026-06-13T08:10:00.000,MLA,BOH
2026-06-16,FR 8315,Malta Air,Ryanair,2026-06-16T18:25:00.000,2026-06-16T20:45:00.000,MLA,BOH
2026-06-19,FR 8315,,Ryanair,2026-06-19T11:15:00.000,2026-06-19T13:35:00.000,MLA,BOH
2026-06-20,FR 8315,Malta Air,Ryanair,2026-06-20T05:50:00.000,2026-06-20T08:10:00.000,MLA,BOH
