date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-01,FR 8955,,Ryanair,2026-06-01T14:40:00.000,2026-06-01T17:05:00.000,RHO,BOH
2026-06-04,FR 8955,,Ryanair,2026-06-04T13:40:00.000,2026-06-04T16:05:00.000,RHO,BOH
2026-06-08,FR 8955,,Ryanair,2026-06-08T14:40:00.000,2026-06-08T17:05:00.000,RHO,BOH
2026-06-11,FR 8955,,Ryanair,2026-06-11T13:40:00.000,2026-06-11T16:05:00.000,RHO,BOH
2026-06-15,FR 8955,,Ryanair,2026-06-15T14:40:00.000,2026-06-15T17:05:00.000,RHO,BOH
2026-06-18,FR 8955,,Ryanair,2026-06-18T13:40:00.000,2026-06-18T16:05:00.000,RHO,BOH
2026-06-22,FR 8955,,Ryanair,2026-06-22T14:40:00.000,2026-06-22T17:05:00.000,RHO,BOH
2026-06-25,FR 8955,,Ryanair,2026-06-25T13:40:00.000,2026-06-25T16:05:00.000,RHO,BOH
2026-06-29,FR 8955,,Ryanair,2026-06-29T14:40:00.000,2026-06-29T17:05:00.000,RHO,BOH
2026-07-02,FR 8955,,Ryanair,2026-07-02T13:40:00.000,2026-07-02T16:05:00.000,RHO,BOH
2026-07-06,FR 8955,,Ryanair,2026-07-06T14:40:00.000,2026-07-06T17:05:00.000,RHO,BOH
2026-07-09,FR 8955,,Ryanair,2026-07-09T13:40:00.000,2026-07-09T16:05:00.000,RHO,BOH
2026-07-13,FR 8955,,Ryanair,2026-07-13T14:40:00.000,2026-07-13T17:05:00.000,RHO,BOH
2026-07-16,FR 8955,,Ryanair,2026-07-16T13:40:00.000,2026-07-16T16:05:00.000,RHO,BOH
2026-07-20,FR 8955,,Ryanair,2026-07-20T14:40:00.000,2026-07-20T17:05:00.000,RHO,BOH
2026-07-23,FR 8955,,Ryanair,2026-07-23T13:40:00.000,2026-07-23T16:05:00.000,RHO,BOH
2026-07-27,FR 8955,,Ryanair,2026-07-27T14:40:00.000,2026-07-27T17:05:00.000,RHO,BOH
2026-07-30,FR 8955,,Ryanair,2026-07-30T13:40:00.000,2026-07-30T16:05:00.000,RHO,BOH
2026-08-03,FR 8955,,Ryanair,2026-08-03T14:40:00.000,2026-08-03T17:05:00.000,RHO,BOH
2026-08-06,FR 8955,,Ryanair,2026-08-06T13:40:00.000,2026-08-06T16:05:00.000,RHO,BOH
2026-08-10,FR 8955,,Ryanair,2026-08-10T14:40:00.000,2026-08-10T17:05:00.000,RHO,BOH
2026-08-13,FR 8955,,Ryanair,2026-08-13T13:40:00.000,2026-08-13T16:05:00.000,RHO,BOH
2026-08-17,FR 8955,,Ryanair,2026-08-17T14:40:00.000,2026-08-17T17:05:00.000,RHO,BOH
2026-08-20,FR 8955,,Ryanair,2026-08-20T13:40:00.000,2026-08-20T16:05:00.000,RHO,BOH
2026-08-24,FR 8955,,Ryanair,2026-08-24T14:40:00.000,2026-08-24T17:05:00.000,RHO,BOH
2026-08-27,FR 8955,,Ryanair,2026-08-27T13:40:00.000,2026-08-27T16:05:00.000,RHO,BOH
2026-08-31,FR 8955,,Ryanair,2026-08-31T14:40:00.000,2026-08-31T17:05:00.000,RHO,BOH
