date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 1179,,Ryanair,2026-05-02T06:00:00.000,2026-05-02T10:00:00.000,TFS,BOH
2026-05-05,FR 1179,,Ryanair,2026-05-05T16:35:00.000,2026-05-05T20:35:00.000,TFS,BOH
2026-05-09,FR 1179,,Ryanair,2026-05-09T06:00:00.000,2026-05-09T10:00:00.000,TFS,BOH
2026-05-12,FR 1179,,Ryanair,2026-05-12T16:35:00.000,2026-05-12T20:35:00.000,TFS,BOH
2026-05-16,FR 1179,,Ryanair,2026-05-16T06:00:00.000,2026-05-16T10:00:00.000,TFS,BOH
2026-05-19,FR 1179,,Ryanair,2026-05-19T16:35:00.000,2026-05-19T20:35:00.000,TFS,BOH
2026-05-23,FR 1179,,Ryanair,2026-05-23T06:00:00.000,2026-05-23T10:00:00.000,TFS,BOH
2026-05-26,FR 1179,,Ryanair,2026-05-26T16:35:00.000,2026-05-26T20:35:00.000,TFS,BOH
2026-05-30,FR 1179,,Ryanair,2026-05-30T06:00:00.000,2026-05-30T10:00:00.000,TFS,BOH
2026-06-02,FR 1179,,Ryanair,2026-06-02T16:35:00.000,2026-06-02T20:35:00.000,TFS,BOH
2026-06-06,FR 1179,,Ryanair,2026-06-06T06:00:00.000,2026-06-06T10:00:00.000,TFS,BOH
2026-06-09,FR 1179,,Ryanair,2026-06-09T16:35:00.000,2026-06-09T20:35:00.000,TFS,BOH
2026-06-13,FR 1179,,Ryanair,2026-06-13T06:00:00.000,2026-06-13T10:00:00.000,TFS,BOH
2026-06-16,FR 1179,,Ryanair,2026-06-16T16:35:00.000,2026-06-16T20:35:00.000,TFS,BOH
2026-06-20,FR 1179,,Ryanair,2026-06-20T06:00:00.000,2026-06-20T10:00:00.000,TFS,BOH
2026-06-23,FR 1179,,Ryanair,2026-06-23T16:35:00.000,2026-06-23T20:35:00.000,TFS,BOH
2026-06-27,FR 1179,,Ryanair,2026-06-27T06:00:00.000,2026-06-27T10:00:00.000,TFS,BOH
2026-06-30,FR 1179,,Ryanair,2026-06-30T16:35:00.000,2026-06-30T20:35:00.000,TFS,BOH
2026-07-04,FR 1179,,Ryanair,2026-07-04T06:00:00.000,2026-07-04T10:00:00.000,TFS,BOH
2026-07-07,FR 1179,,Ryanair,2026-07-07T16:35:00.000,2026-07-07T20:35:00.000,TFS,BOH
2026-07-11,FR 1179,,Ryanair,2026-07-11T06:00:00.000,2026-07-11T10:00:00.000,TFS,BOH
2026-07-14,FR 1179,,Ryanair,2026-07-14T16:35:00.000,2026-07-14T20:35:00.000,TFS,BOH
2026-07-18,FR 1179,,Ryanair,2026-07-18T06:00:00.000,2026-07-18T10:00:00.000,TFS,BOH
2026-07-21,FR 1179,,Ryanair,2026-07-21T16:35:00.000,2026-07-21T20:35:00.000,TFS,BOH
2026-07-25,FR 1179,,Ryanair,2026-07-25T06:00:00.000,2026-07-25T10:00:00.000,TFS,BOH
2026-07-28,FR 1179,,Ryanair,2026-07-28T16:35:00.000,2026-07-28T20:35:00.000,TFS,BOH
2026-08-01,FR 1179,,Ryanair,2026-08-01T06:00:00.000,2026-08-01T10:00:00.000,TFS,BOH
2026-08-04,FR 1179,,Ryanair,2026-08-04T16:35:00.000,2026-08-04T20:35:00.000,TFS,BOH
2026-08-08,FR 1179,,Ryanair,2026-08-08T06:00:00.000,2026-08-08T10:00:00.000,TFS,BOH
2026-08-11,FR 1179,,Ryanair,2026-08-11T16:35:00.000,2026-08-11T20:35:00.000,TFS,BOH
2026-08-15,FR 1179,,Ryanair,2026-08-15T06:00:00.000,2026-08-15T10:00:00.000,TFS,BOH
2026-08-18,FR 1179,,Ryanair,2026-08-18T16:35:00.000,2026-08-18T20:35:00.000,TFS,BOH
2026-08-22,FR 1179,,Ryanair,2026-08-22T06:00:00.000,2026-08-22T10:00:00.000,TFS,BOH
2026-08-25,FR 1179,,Ryanair,2026-08-25T16:35:00.000,2026-08-25T20:35:00.000,TFS,BOH
2026-08-29,FR 1179,,Ryanair,2026-08-29T06:00:00.000,2026-08-29T10:00:00.000,TFS,BOH
