date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 6504,Malta Air,Ryanair,2026-05-02T05:45:00.000,2026-05-02T07:45:00.000,TPS,BOH
2026-05-05,FR 6504,,Ryanair,2026-05-05T20:10:00.000,2026-05-05T22:10:00.000,TPS,BOH
2026-05-09,FR 6504,Malta Air,Ryanair,2026-05-09T05:45:00.000,2026-05-09T07:45:00.000,TPS,BOH
2026-05-12,FR 6504,,Ryanair,2026-05-12T20:10:00.000,2026-05-12T22:10:00.000,TPS,BOH
2026-05-16,FR 6504,Malta Air,Ryanair,2026-05-16T05:45:00.000,2026-05-16T07:45:00.000,TPS,BOH
2026-05-19,FR 6504,,Ryanair,2026-05-19T20:10:00.000,2026-05-19T22:10:00.000,TPS,BOH
2026-05-23,FR 6504,Malta Air,Ryanair,2026-05-23T05:45:00.000,2026-05-23T07:45:00.000,TPS,BOH
2026-05-26,FR 6504,,Ryanair,2026-05-26T20:10:00.000,2026-05-26T22:10:00.000,TPS,BOH
2026-05-30,FR 6504,Malta Air,Ryanair,2026-05-30T05:45:00.000,2026-05-30T07:45:00.000,TPS,BOH
2026-06-02,FR 6504,,Ryanair,2026-06-02T20:10:00.000,2026-06-02T22:10:00.000,TPS,BOH
2026-06-06,FR 6504,Malta Air,Ryanair,2026-06-06T05:45:00.000,2026-06-06T07:45:00.000,TPS,BOH
2026-06-09,FR 6504,,Ryanair,2026-06-09T20:10:00.000,2026-06-09T22:10:00.000,TPS,BOH
2026-06-13,FR 6504,Malta Air,Ryanair,2026-06-13T05:45:00.000,2026-06-13T07:45:00.000,TPS,BOH
2026-06-16,FR 6504,,Ryanair,2026-06-16T20:10:00.000,2026-06-16T22:10:00.000,TPS,BOH
2026-06-20,FR 6504,Malta Air,Ryanair,2026-06-20T05:45:00.000,2026-06-20T07:45:00.000,TPS,BOH
2026-06-23,FR 6504,,Ryanair,2026-06-23T20:10:00.000,2026-06-23T22:10:00.000,TPS,BOH
2026-06-27,FR 6504,Malta Air,Ryanair,2026-06-27T05:45:00.000,2026-06-27T07:45:00.000,TPS,BOH
2026-06-30,FR 6504,,Ryanair,2026-06-30T20:10:00.000,2026-06-30T22:10:00.000,TPS,BOH
2026-07-04,FR 6504,Malta Air,Ryanair,2026-07-04T05:45:00.000,2026-07-04T07:45:00.000,TPS,BOH
2026-07-07,FR 6504,,Ryanair,2026-07-07T20:10:00.000,2026-07-07T22:10:00.000,TPS,BOH
2026-07-11,FR 6504,Malta Air,Ryanair,2026-07-11T05:45:00.000,2026-07-11T07:45:00.000,TPS,BOH
2026-07-14,FR 6504,,Ryanair,2026-07-14T20:10:00.000,2026-07-14T22:10:00.000,TPS,BOH
2026-07-18,FR 6504,Malta Air,Ryanair,2026-07-18T05:45:00.000,2026-07-18T07:45:00.000,TPS,BOH
2026-07-21,FR 6504,,Ryanair,2026-07-21T20:10:00.000,2026-07-21T22:10:00.000,TPS,BOH
2026-07-25,FR 6504,Malta Air,Ryanair,2026-07-25T05:45:00.000,2026-07-25T07:45:00.000,TPS,BOH
2026-07-28,FR 6504,,Ryanair,2026-07-28T20:10:00.000,2026-07-28T22:10:00.000,TPS,BOH
2026-08-01,FR 6504,Malta Air,Ryanair,2026-08-01T05:45:00.000,2026-08-01T07:45:00.000,TPS,BOH
2026-08-04,FR 6504,,Ryanair,2026-08-04T20:10:00.000,2026-08-04T22:10:00.000,TPS,BOH
2026-08-08,FR 6504,Malta Air,Ryanair,2026-08-08T05:45:00.000,2026-08-08T07:45:00.000,TPS,BOH
2026-08-11,FR 6504,,Ryanair,2026-08-11T20:10:00.000,2026-08-11T22:10:00.000,TPS,BOH
2026-08-15,FR 6504,Malta Air,Ryanair,2026-08-15T05:45:00.000,2026-08-15T07:45:00.000,TPS,BOH
2026-08-18,FR 6504,,Ryanair,2026-08-18T20:10:00.000,2026-08-18T22:10:00.000,TPS,BOH
2026-08-22,FR 6504,Malta Air,Ryanair,2026-08-22T05:45:00.000,2026-08-22T07:45:00.000,TPS,BOH
2026-08-25,FR 6504,,Ryanair,2026-08-25T20:10:00.000,2026-08-25T22:10:00.000,TPS,BOH
2026-08-29,FR 6504,Malta Air,Ryanair,2026-08-29T05:45:00.000,2026-08-29T07:45:00.000,TPS,BOH
