date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 3318,Buzz,Ryanair,2026-05-02T14:40:00.000,2026-05-02T16:00:00.000,WRO,BOH
2026-05-06,FR 3318,,Ryanair,2026-05-06T16:50:00.000,2026-05-06T18:10:00.000,WRO,BOH
2026-05-09,FR 3318,Buzz,Ryanair,2026-05-09T14:40:00.000,2026-05-09T16:00:00.000,WRO,BOH
2026-05-13,FR 3318,,Ryanair,2026-05-13T16:50:00.000,2026-05-13T18:10:00.000,WRO,BOH
2026-05-16,FR 3318,Buzz,Ryanair,2026-05-16T14:40:00.000,2026-05-16T16:00:00.000,WRO,BOH
2026-05-20,FR 3318,,Ryanair,2026-05-20T16:50:00.000,2026-05-20T18:10:00.000,WRO,BOH
2026-05-23,FR 3318,Buzz,Ryanair,2026-05-23T14:40:00.000,2026-05-23T16:00:00.000,WRO,BOH
2026-05-27,FR 3318,,Ryanair,2026-05-27T16:50:00.000,2026-05-27T18:10:00.000,WRO,BOH
2026-05-30,FR 3318,Buzz,Ryanair,2026-05-30T14:40:00.000,2026-05-30T16:00:00.000,WRO,BOH
2026-06-03,FR 3318,,Ryanair,2026-06-03T16:50:00.000,2026-06-03T18:10:00.000,WRO,BOH
2026-06-06,FR 3318,Buzz,Ryanair,2026-06-06T14:40:00.000,2026-06-06T16:00:00.000,WRO,BOH
2026-06-10,FR 3318,,Ryanair,2026-06-10T16:50:00.000,2026-06-10T18:10:00.000,WRO,BOH
2026-06-13,FR 3318,Buzz,Ryanair,2026-06-13T14:40:00.000,2026-06-13T16:00:00.000,WRO,BOH
2026-06-17,FR 3318,,Ryanair,2026-06-17T16:50:00.000,2026-06-17T18:10:00.000,WRO,BOH
2026-06-20,FR 3318,Buzz,Ryanair,2026-06-20T14:40:00.000,2026-06-20T16:00:00.000,WRO,BOH
2026-06-24,FR 3318,,Ryanair,2026-06-24T16:50:00.000,2026-06-24T18:10:00.000,WRO,BOH
2026-06-27,FR 3318,Buzz,Ryanair,2026-06-27T14:40:00.000,2026-06-27T16:00:00.000,WRO,BOH
2026-07-01,FR 3318,,Ryanair,2026-07-01T16:50:00.000,2026-07-01T18:10:00.000,WRO,BOH
2026-07-04,FR 3318,Buzz,Ryanair,2026-07-04T14:40:00.000,2026-07-04T16:00:00.000,WRO,BOH
2026-07-08,FR 3318,,Ryanair,2026-07-08T16:50:00.000,2026-07-08T18:10:00.000,WRO,BOH
2026-07-11,FR 3318,Buzz,Ryanair,2026-07-11T14:40:00.000,2026-07-11T16:00:00.000,WRO,BOH
2026-07-15,FR 3318,,Ryanair,2026-07-15T16:50:00.000,2026-07-15T18:10:00.000,WRO,BOH
2026-07-18,FR 3318,Buzz,Ryanair,2026-07-18T14:40:00.000,2026-07-18T16:00:00.000,WRO,BOH
2026-07-22,FR 3318,,Ryanair,2026-07-22T16:50:00.000,2026-07-22T18:10:00.000,WRO,BOH
2026-07-25,FR 3318,Buzz,Ryanair,2026-07-25T14:40:00.000,2026-07-25T16:00:00.000,WRO,BOH
2026-07-29,FR 3318,,Ryanair,2026-07-29T16:50:00.000,2026-07-29T18:10:00.000,WRO,BOH
2026-08-01,FR 3318,Buzz,Ryanair,2026-08-01T14:40:00.000,2026-08-01T16:00:00.000,WRO,BOH
2026-08-05,FR 3318,,Ryanair,2026-08-05T16:50:00.000,2026-08-05T18:10:00.000,WRO,BOH
2026-08-08,FR 3318,Buzz,Ryanair,2026-08-08T14:40:00.000,2026-08-08T16:00:00.000,WRO,BOH
2026-08-12,FR 3318,,Ryanair,2026-08-12T16:50:00.000,2026-08-12T18:10:00.000,WRO,BOH
2026-08-15,FR 3318,Buzz,Ryanair,2026-08-15T14:40:00.000,2026-08-15T16:00:00.000,WRO,BOH
2026-08-19,FR 3318,,Ryanair,2026-08-19T16:50:00.000,2026-08-19T18:10:00.000,WRO,BOH
2026-08-22,FR 3318,Buzz,Ryanair,2026-08-22T14:40:00.000,2026-08-22T16:00:00.000,WRO,BOH
2026-08-26,FR 3318,,Ryanair,2026-08-26T16:50:00.000,2026-08-26T18:10:00.000,WRO,BOH
2026-08-29,FR 3318,Buzz,Ryanair,2026-08-29T14:40:00.000,2026-08-29T16:00:00.000,WRO,BOH
