date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-03,FR 1241,Lauda Europe,Ryanair,2026-06-03T09:45:00.000,2026-06-03T11:20:00.000,ZAD,BOH
2026-06-06,FR 1241,,Ryanair,2026-06-06T11:00:00.000,2026-06-06T12:35:00.000,ZAD,BOH
2026-06-10,FR 1241,Lauda Europe,Ryanair,2026-06-10T09:45:00.000,2026-06-10T11:20:00.000,ZAD,BOH
2026-06-13,FR 1241,,Ryanair,2026-06-13T11:00:00.000,2026-06-13T12:35:00.000,ZAD,BOH
2026-06-17,FR 1241,Lauda Europe,Ryanair,2026-06-17T09:45:00.000,2026-06-17T11:20:00.000,ZAD,BOH
2026-06-20,FR 1241,,Ryanair,2026-06-20T11:00:00.000,2026-06-20T12:35:00.000,ZAD,BOH
2026-06-24,FR 1241,Lauda Europe,Ryanair,2026-06-24T09:45:00.000,2026-06-24T11:20:00.000,ZAD,BOH
2026-06-27,FR 1241,,Ryanair,2026-06-27T11:00:00.000,2026-06-27T12:35:00.000,ZAD,BOH
2026-07-01,FR 1241,Lauda Europe,Ryanair,2026-07-01T09:45:00.000,2026-07-01T11:20:00.000,ZAD,BOH
2026-07-04,FR 1241,,Ryanair,2026-07-04T11:00:00.000,2026-07-04T12:35:00.000,ZAD,BOH
2026-07-08,FR 1241,Lauda Europe,Ryanair,2026-07-08T09:45:00.000,2026-07-08T11:20:00.000,ZAD,BOH
2026-07-11,FR 1241,,Ryanair,2026-07-11T11:00:00.000,2026-07-11T12:35:00.000,ZAD,BOH
2026-07-15,FR 1241,Lauda Europe,Ryanair,2026-07-15T09:45:00.000,2026-07-15T11:20:00.000,ZAD,BOH
2026-07-18,FR 1241,,Ryanair,2026-07-18T11:00:00.000,2026-07-18T12:35:00.000,ZAD,BOH
2026-07-22,FR 1241,Lauda Europe,Ryanair,2026-07-22T09:45:00.000,2026-07-22T11:20:00.000,ZAD,BOH
2026-07-25,FR 1241,,Ryanair,2026-07-25T11:00:00.000,2026-07-25T12:35:00.000,ZAD,BOH
2026-07-29,FR 1241,Lauda Europe,Ryanair,2026-07-29T09:45:00.000,2026-07-29T11:20:00.000,ZAD,BOH
2026-08-01,FR 1241,,Ryanair,2026-08-01T11:00:00.000,2026-08-01T12:35:00.000,ZAD,BOH
2026-08-05,FR 1241,Lauda Europe,Ryanair,2026-08-05T09:45:00.000,2026-08-05T11:20:00.000,ZAD,BOH
2026-08-08,FR 1241,,Ryanair,2026-08-08T11:00:00.000,2026-08-08T12:35:00.000,ZAD,BOH
2026-08-12,FR 1241,Lauda Europe,Ryanair,2026-08-12T09:45:00.000,2026-08-12T11:20:00.000,ZAD,BOH
2026-08-15,FR 1241,,Ryanair,2026-08-15T11:00:00.000,2026-08-15T12:35:00.000,ZAD,BOH
2026-08-19,FR 1241,Lauda Europe,Ryanair,2026-08-19T09:45:00.000,2026-08-19T11:20:00.000,ZAD,BOH
2026-08-22,FR 1241,,Ryanair,2026-08-22T11:00:00.000,2026-08-22T12:35:00.000,ZAD,BOH
2026-08-26,FR 1241,Lauda Europe,Ryanair,2026-08-26T09:45:00.000,2026-08-26T11:20:00.000,ZAD,BOH
2026-08-29,FR 1241,,Ryanair,2026-08-29T11:00:00.000,2026-08-29T12:35:00.000,ZAD,BOH
