date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-01,FR 829,,Ryanair,2026-06-01T17:55:00.000,2026-06-01T21:10:00.000,BOH,PMI
2026-06-02,FR 5942,,Ryanair,2026-06-02T11:25:00.000,2026-06-02T14:40:00.000,BOH,PMI
2026-06-02,FR 829,,Ryanair,2026-06-02T20:40:00.000,2026-06-02T23:55:00.000,BOH,PMI
2026-06-03,FR 829,,Ryanair,2026-06-03T17:15:00.000,2026-06-03T20:30:00.000,BOH,PMI
2026-06-04,FR 829,,Ryanair,2026-06-04T11:50:00.000,2026-06-04T15:05:00.000,BOH,PMI
2026-06-04,FR 5942,,Ryanair,2026-06-04T17:45:00.000,2026-06-04T21:00:00.000,BOH,PMI
2026-06-05,FR 829,,Ryanair,2026-06-05T12:55:00.000,2026-06-05T16:10:00.000,BOH,PMI
2026-06-06,FR 829,,Ryanair,2026-06-06T10:10:00.000,2026-06-06T13:25:00.000,BOH,PMI
2026-06-07,FR 829,,Ryanair,2026-06-07T13:25:00.000,2026-06-07T16:40:00.000,BOH,PMI
2026-06-07,FR 5942,,Ryanair,2026-06-07T17:55:00.000,2026-06-07T21:10:00.000,BOH,PMI
2026-06-08,FR 829,,Ryanair,2026-06-08T17:55:00.000,2026-06-08T21:10:00.000,BOH,PMI
2026-06-09,FR 5942,,Ryanair,2026-06-09T11:25:00.000,2026-06-09T14:40:00.000,BOH,PMI
2026-06-09,FR 829,,Ryanair,2026-06-09T20:40:00.000,2026-06-09T23:55:00.000,BOH,PMI
2026-06-10,FR 829,,Ryanair,2026-06-10T17:15:00.000,2026-06-10T20:30:00.000,BOH,PMI
2026-06-11,FR 829,,Ryanair,2026-06-11T11:50:00.000,2026-06-11T15:05:00.000,BOH,PMI
2026-06-11,FR 5942,,Ryanair,2026-06-11T17:45:00.000,2026-06-11T21:00:00.000,BOH,PMI
2026-06-12,FR 829,,Ryanair,2026-06-12T12:55:00.000,2026-06-12T16:10:00.000,BOH,PMI
2026-06-13,FR 829,,Ryanair,2026-06-13T10:10:00.000,2026-06-13T13:25:00.000,BOH,PMI
2026-06-14,FR 829,,Ryanair,2026-06-14T13:25:00.000,2026-06-14T16:40:00.000,BOH,PMI
2026-06-14,FR 5942,,Ryanair,2026-06-14T17:55:00.000,2026-06-14T21:10:00.000,BOH,PMI
2026-06-15,FR 829,,Ryanair,2026-06-15T17:55:00.000,2026-06-15T21:10:00.000,BOH,PMI
2026-06-16,FR 5942,,Ryanair,2026-06-16T11:25:00.000,2026-06-16T14:40:00.000,BOH,PMI
2026-06-16,FR 829,,Ryanair,2026-06-16T20:40:00.000,2026-06-16T23:55:00.000,BOH,PMI
2026-06-17,FR 829,,Ryanair,2026-06-17T17:15:00.000,2026-06-17T20:30:00.000,BOH,PMI
2026-06-18,FR 829,,Ryanair,2026-06-18T11:50:00.000,2026-06-18T15:05:00.000,BOH,PMI
2026-06-18,FR 5942,,Ryanair,2026-06-18T17:45:00.000,2026-06-18T21:00:00.000,BOH,PMI
2026-06-19,FR 829,,Ryanair,2026-06-19T12:55:00.000,2026-06-19T16:10:00.000,BOH,PMI
2026-06-20,FR 829,,Ryanair,2026-06-20T10:10:00.000,2026-06-20T13:25:00.000,BOH,PMI
2026-06-21,FR 829,,Ryanair,2026-06-21T13:25:00.000,2026-06-21T16:40:00.000,BOH,PMI
2026-06-21,FR 5942,,Ryanair,2026-06-21T17:55:00.000,2026-06-21T21:10:00.000,BOH,PMI
2026-06-22,FR 829,,Ryanair,2026-06-22T17:55:00.000,2026-06-22T21:10:00.000,BOH,PMI
2026-06-23,FR 5942,,Ryanair,2026-06-23T11:25:00.000,2026-06-23T14:40:00.000,BOH,PMI
2026-06-23,FR 829,,Ryanair,2026-06-23T20:40:00.000,2026-06-23T23:55:00.000,BOH,PMI
2026-06-24,FR 829,,Ryanair,2026-06-24T17:15:00.000,2026-06-24T20:30:00.000,BOH,PMI
2026-06-25,FR 829,,Ryanair,2026-06-25T11:50:00.000,2026-06-25T15:05:00.000,BOH,PMI
2026-06-25,FR 5942,,Ryanair,2026-06-25T17:45:00.000,2026-06-25T21:00:00.000,BOH,PMI
2026-06-26,FR 829,,Ryanair,2026-06-26T12:55:00.000,2026-06-26T16:10:00.000,BOH,PMI
2026-06-27,FR 829,,Ryanair,2026-06-27T10:10:00.000,2026-06-27T13:25:00.000,BOH,PMI
2026-06-28,FR 829,,Ryanair,2026-06-28T13:25:00.000,2026-06-28T16:40:00.000,BOH,PMI
2026-06-28,FR 5942,,Ryanair,2026-06-28T17:55:00.000,2026-06-28T21:10:00.000,BOH,PMI
2026-06-29,FR 829,,Ryanair,2026-06-29T17:55:00.000,2026-06-29T21:10:00.000,BOH,PMI
2026-06-30,FR 5942,,Ryanair,2026-06-30T11:25:00.000,2026-06-30T14:40:00.000,BOH,PMI
2026-06-30,FR 829,,Ryanair,2026-06-30T20:40:00.000,2026-06-30T23:55:00.000,BOH,PMI
