date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-01,FR 3961,,Ryanair,2026-05-01T06:30:00.000,2026-05-01T09:50:00.000,BOH,ALC
2026-05-01,FR 3948,,Ryanair,2026-05-01T15:15:00.000,2026-05-01T18:35:00.000,BOH,ALC
2026-05-02,FR 3948,,Ryanair,2026-05-02T15:05:00.000,2026-05-02T18:25:00.000,BOH,ALC
2026-05-03,FR 3948,,Ryanair,2026-05-03T14:40:00.000,2026-05-03T18:00:00.000,BOH,ALC
2026-05-04,FR 3948,,Ryanair,2026-05-04T06:55:00.000,2026-05-04T10:15:00.000,BOH,ALC
2026-05-04,FR 3961,,Ryanair,2026-05-04T17:45:00.000,2026-05-04T21:05:00.000,BOH,ALC
2026-05-05,FR 3948,,Ryanair,2026-05-05T16:05:00.000,2026-05-05T19:25:00.000,BOH,ALC
2026-05-06,FR 3948,,Ryanair,2026-05-06T09:15:00.000,2026-05-06T12:35:00.000,BOH,ALC
2026-05-07,FR 3948,,Ryanair,2026-05-07T08:40:00.000,2026-05-07T12:00:00.000,BOH,ALC
2026-05-08,FR 3961,,Ryanair,2026-05-08T06:30:00.000,2026-05-08T09:50:00.000,BOH,ALC
2026-05-08,FR 3948,,Ryanair,2026-05-08T15:15:00.000,2026-05-08T18:35:00.000,BOH,ALC
2026-05-09,FR 3948,,Ryanair,2026-05-09T15:05:00.000,2026-05-09T18:25:00.000,BOH,ALC
2026-05-10,FR 3948,,Ryanair,2026-05-10T14:40:00.000,2026-05-10T18:00:00.000,BOH,ALC
2026-05-11,FR 3948,,Ryanair,2026-05-11T06:55:00.000,2026-05-11T10:15:00.000,BOH,ALC
2026-05-11,FR 3961,,Ryanair,2026-05-11T17:45:00.000,2026-05-11T21:05:00.000,BOH,ALC
2026-05-12,FR 3948,,Ryanair,2026-05-12T16:05:00.000,2026-05-12T19:25:00.000,BOH,ALC
2026-05-13,FR 3948,,Ryanair,2026-05-13T09:15:00.000,2026-05-13T12:35:00.000,BOH,ALC
2026-05-14,FR 3948,,Ryanair,2026-05-14T08:40:00.000,2026-05-14T12:00:00.000,BOH,ALC
2026-05-15,FR 3961,,Ryanair,2026-05-15T06:30:00.000,2026-05-15T09:50:00.000,BOH,ALC
2026-05-15,FR 3948,,Ryanair,2026-05-15T15:15:00.000,2026-05-15T18:35:00.000,BOH,ALC
2026-05-16,FR 3948,,Ryanair,2026-05-16T15:05:00.000,2026-05-16T18:25:00.000,BOH,ALC
2026-05-17,FR 3948,,Ryanair,2026-05-17T14:40:00.000,2026-05-17T18:00:00.000,BOH,ALC
2026-05-18,FR 3948,,Ryanair,2026-05-18T06:55:00.000,2026-05-18T10:15:00.000,BOH,ALC
2026-05-18,FR 3961,,Ryanair,2026-05-18T17:45:00.000,2026-05-18T21:05:00.000,BOH,ALC
2026-05-19,FR 3948,,Ryanair,2026-05-19T16:05:00.000,2026-05-19T19:25:00.000,BOH,ALC
2026-05-20,FR 3948,,Ryanair,2026-05-20T09:15:00.000,2026-05-20T12:35:00.000,BOH,ALC
2026-05-21,FR 3948,,Ryanair,2026-05-21T08:40:00.000,2026-05-21T12:00:00.000,BOH,ALC
2026-05-22,FR 3961,,Ryanair,2026-05-22T06:30:00.000,2026-05-22T09:50:00.000,BOH,ALC
2026-05-22,FR 3948,,Ryanair,2026-05-22T15:15:00.000,2026-05-22T18:35:00.000,BOH,ALC
2026-05-23,FR 3948,,Ryanair,2026-05-23T15:05:00.000,2026-05-23T18:25:00.000,BOH,ALC
2026-05-24,FR 3948,,Ryanair,2026-05-24T14:40:00.000,2026-05-24T18:00:00.000,BOH,ALC
2026-05-25,FR 3948,,Ryanair,2026-05-25T06:55:00.000,2026-05-25T10:15:00.000,BOH,ALC
2026-05-25,FR 3961,,Ryanair,2026-05-25T17:45:00.000,2026-05-25T21:05:00.000,BOH,ALC
2026-05-26,FR 3948,,Ryanair,2026-05-26T16:05:00.000,2026-05-26T19:25:00.000,BOH,ALC
2026-05-27,FR 3948,,Ryanair,2026-05-27T09:15:00.000,2026-05-27T12:35:00.000,BOH,ALC
2026-05-28,FR 3948,,Ryanair,2026-05-28T08:40:00.000,2026-05-28T12:00:00.000,BOH,ALC
2026-05-29,FR 3961,,Ryanair,2026-05-29T06:30:00.000,2026-05-29T09:50:00.000,BOH,ALC
2026-05-29,FR 3948,,Ryanair,2026-05-29T15:15:00.000,2026-05-29T18:35:00.000,BOH,ALC
2026-05-30,FR 3948,,Ryanair,2026-05-30T15:05:00.000,2026-05-30T18:25:00.000,BOH,ALC
2026-05-31,FR 3948,,Ryanair,2026-05-31T14:40:00.000,2026-05-31T18:00:00.000,BOH,ALC
2026-06-01,FR 3948,,Ryanair,2026-06-01T06:55:00.000,2026-06-01T10:15:00.000,BOH,ALC
2026-06-01,FR 3961,,Ryanair,2026-06-01T17:45:00.000,2026-06-01T21:05:00.000,BOH,ALC
2026-06-02,FR 3948,,Ryanair,2026-06-02T16:05:00.000,2026-06-02T19:25:00.000,BOH,ALC
2026-06-03,FR 3948,,Ryanair,2026-06-03T09:15:00.000,2026-06-03T12:35:00.000,BOH,ALC
2026-06-04,FR 3948,,Ryanair,2026-06-04T08:40:00.000,2026-06-04T12:00:00.000,BOH,ALC
2026-06-05,FR 3961,,Ryanair,2026-06-05T06:30:00.000,2026-06-05T09:50:00.000,BOH,ALC
2026-06-05,FR 3948,,Ryanair,2026-06-05T15:15:00.000,2026-06-05T18:35:00.000,BOH,ALC
2026-06-06,FR 3948,,Ryanair,2026-06-06T15:05:00.000,2026-06-06T18:25:00.000,BOH,ALC
2026-06-07,FR 3948,,Ryanair,2026-06-07T14:40:00.000,2026-06-07T18:00:00.000,BOH,ALC
2026-06-08,FR 3948,,Ryanair,2026-06-08T06:55:00.000,2026-06-08T10:15:00.000,BOH,ALC
2026-06-08,FR 3961,,Ryanair,2026-06-08T17:45:00.000,2026-06-08T21:05:00.000,BOH,ALC
2026-06-09,FR 3948,,Ryanair,2026-06-09T16:05:00.000,2026-06-09T19:25:00.000,BOH,ALC
