date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-03,FR 9355,,Ryanair,2026-05-03T13:10:00.000,2026-05-03T15:55:00.000,BOH,CCF
2026-05-07,FR 9355,,Ryanair,2026-05-07T07:35:00.000,2026-05-07T10:20:00.000,BOH,CCF
2026-05-10,FR 9355,,Ryanair,2026-05-10T13:10:00.000,2026-05-10T15:55:00.000,BOH,CCF
2026-05-14,FR 9355,,Ryanair,2026-05-14T07:35:00.000,2026-05-14T10:20:00.000,BOH,CCF
2026-05-17,FR 9355,,Ryanair,2026-05-17T13:10:00.000,2026-05-17T15:55:00.000,BOH,CCF
2026-05-21,FR 9355,,Ryanair,2026-05-21T07:35:00.000,2026-05-21T10:20:00.000,BOH,CCF
2026-05-24,FR 9355,,Ryanair,2026-05-24T13:10:00.000,2026-05-24T15:55:00.000,BOH,CCF
2026-05-28,FR 9355,,Ryanair,2026-05-28T07:35:00.000,2026-05-28T10:20:00.000,BOH,CCF
2026-05-31,FR 9355,,Ryanair,2026-05-31T13:10:00.000,2026-05-31T15:55:00.000,BOH,CCF
2026-06-04,FR 9355,,Ryanair,2026-06-04T07:35:00.000,2026-06-04T10:20:00.000,BOH,CCF
2026-06-07,FR 9355,,Ryanair,2026-06-07T13:10:00.000,2026-06-07T15:55:00.000,BOH,CCF
2026-06-11,FR 9355,,Ryanair,2026-06-11T07:35:00.000,2026-06-11T10:20:00.000,BOH,CCF
2026-06-14,FR 9355,,Ryanair,2026-06-14T13:10:00.000,2026-06-14T15:55:00.000,BOH,CCF
2026-06-18,FR 9355,,Ryanair,2026-06-18T07:35:00.000,2026-06-18T10:20:00.000,BOH,CCF
2026-06-21,FR 9355,,Ryanair,2026-06-21T13:10:00.000,2026-06-21T15:55:00.000,BOH,CCF
2026-06-25,FR 9355,,Ryanair,2026-06-25T07:35:00.000,2026-06-25T10:20:00.000,BOH,CCF
2026-06-28,FR 9355,,Ryanair,2026-06-28T13:10:00.000,2026-06-28T15:55:00.000,BOH,CCF
2026-07-02,FR 9355,,Ryanair,2026-07-02T07:35:00.000,2026-07-02T10:20:00.000,BOH,CCF
2026-07-05,FR 9355,,Ryanair,2026-07-05T13:10:00.000,2026-07-05T15:55:00.000,BOH,CCF
2026-07-09,FR 9355,,Ryanair,2026-07-09T07:35:00.000,2026-07-09T10:20:00.000,BOH,CCF
2026-07-12,FR 9355,,Ryanair,2026-07-12T13:10:00.000,2026-07-12T15:55:00.000,BOH,CCF
2026-07-16,FR 9355,,Ryanair,2026-07-16T07:35:00.000,2026-07-16T10:20:00.000,BOH,CCF
2026-07-19,FR 9355,,Ryanair,2026-07-19T13:10:00.000,2026-07-19T15:55:00.000,BOH,CCF
2026-07-23,FR 9355,,Ryanair,2026-07-23T07:35:00.000,2026-07-23T10:20:00.000,BOH,CCF
2026-07-26,FR 9355,,Ryanair,2026-07-26T13:10:00.000,2026-07-26T15:55:00.000,BOH,CCF
2026-07-30,FR 9355,,Ryanair,2026-07-30T07:35:00.000,2026-07-30T10:20:00.000,BOH,CCF
2026-08-02,FR 9355,,Ryanair,2026-08-02T13:10:00.000,2026-08-02T15:55:00.000,BOH,CCF
2026-08-06,FR 9355,,Ryanair,2026-08-06T07:35:00.000,2026-08-06T10:20:00.000,BOH,CCF
2026-08-09,FR 9355,,Ryanair,2026-08-09T13:10:00.000,2026-08-09T15:55:00.000,BOH,CCF
2026-08-13,FR 9355,,Ryanair,2026-08-13T07:35:00.000,2026-08-13T10:20:00.000,BOH,CCF
2026-08-16,FR 9355,,Ryanair,2026-08-16T13:10:00.000,2026-08-16T15:55:00.000,BOH,CCF
2026-08-20,FR 9355,,Ryanair,2026-08-20T07:35:00.000,2026-08-20T10:20:00.000,BOH,CCF
2026-08-23,FR 9355,,Ryanair,2026-08-23T13:10:00.000,2026-08-23T15:55:00.000,BOH,CCF
2026-08-27,FR 9355,,Ryanair,2026-08-27T07:35:00.000,2026-08-27T10:20:00.000,BOH,CCF
2026-08-30,FR 9355,,Ryanair,2026-08-30T13:10:00.000,2026-08-30T15:55:00.000,BOH,CCF
