date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-05,FR 8944,,Ryanair,2026-06-05T12:40:00.000,2026-06-05T18:30:00.000,BOH,CHQ
2026-06-12,FR 8944,,Ryanair,2026-06-12T12:40:00.000,2026-06-12T18:30:00.000,BOH,CHQ
2026-06-19,FR 8944,,Ryanair,2026-06-19T12:40:00.000,2026-06-19T18:30:00.000,BOH,CHQ
2026-06-26,FR 8944,,Ryanair,2026-06-26T12:40:00.000,2026-06-26T18:30:00.000,BOH,CHQ
2026-07-03,FR 8944,,Ryanair,2026-07-03T12:40:00.000,2026-07-03T18:30:00.000,BOH,CHQ
2026-07-10,FR 8944,,Ryanair,2026-07-10T12:40:00.000,2026-07-10T18:30:00.000,BOH,CHQ
2026-07-17,FR 8944,,Ryanair,2026-07-17T12:40:00.000,2026-07-17T18:30:00.000,BOH,CHQ
2026-07-24,FR 8944,,Ryanair,2026-07-24T12:40:00.000,2026-07-24T18:30:00.000,BOH,CHQ
2026-07-31,FR 8944,,Ryanair,2026-07-31T12:40:00.000,2026-07-31T18:30:00.000,BOH,CHQ
2026-08-07,FR 8944,,Ryanair,2026-08-07T12:40:00.000,2026-08-07T18:30:00.000,BOH,CHQ
2026-08-14,FR 8944,,Ryanair,2026-08-14T12:40:00.000,2026-08-14T18:30:00.000,BOH,CHQ
2026-08-21,FR 8944,,Ryanair,2026-08-21T12:40:00.000,2026-08-21T18:30:00.000,BOH,CHQ
2026-08-28,FR 8944,,Ryanair,2026-08-28T12:40:00.000,2026-08-28T18:30:00.000,BOH,CHQ
