date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-03,FR 8946,,Ryanair,2026-05-03T08:40:00.000,2026-05-03T12:40:00.000,BOH,FUE
2026-05-05,FR 8946,,Ryanair,2026-05-05T06:30:00.000,2026-05-05T10:30:00.000,BOH,FUE
2026-05-10,FR 8946,,Ryanair,2026-05-10T08:40:00.000,2026-05-10T12:40:00.000,BOH,FUE
2026-05-12,FR 8946,,Ryanair,2026-05-12T06:30:00.000,2026-05-12T10:30:00.000,BOH,FUE
2026-05-17,FR 8946,,Ryanair,2026-05-17T08:40:00.000,2026-05-17T12:40:00.000,BOH,FUE
2026-05-19,FR 8946,,Ryanair,2026-05-19T06:30:00.000,2026-05-19T10:30:00.000,BOH,FUE
2026-05-24,FR 8946,,Ryanair,2026-05-24T08:40:00.000,2026-05-24T12:40:00.000,BOH,FUE
2026-05-26,FR 8946,,Ryanair,2026-05-26T06:30:00.000,2026-05-26T10:30:00.000,BOH,FUE
2026-05-31,FR 8946,,Ryanair,2026-05-31T08:40:00.000,2026-05-31T12:40:00.000,BOH,FUE
2026-06-02,FR 8946,,Ryanair,2026-06-02T06:30:00.000,2026-06-02T10:30:00.000,BOH,FUE
2026-06-07,FR 8946,,Ryanair,2026-06-07T08:40:00.000,2026-06-07T12:40:00.000,BOH,FUE
2026-06-09,FR 8946,,Ryanair,2026-06-09T06:30:00.000,2026-06-09T10:30:00.000,BOH,FUE
2026-06-14,FR 8946,,Ryanair,2026-06-14T08:40:00.000,2026-06-14T12:40:00.000,BOH,FUE
2026-06-16,FR 8946,,Ryanair,2026-06-16T06:30:00.000,2026-06-16T10:30:00.000,BOH,FUE
2026-06-21,FR 8946,,Ryanair,2026-06-21T08:40:00.000,2026-06-21T12:40:00.000,BOH,FUE
2026-06-23,FR 8946,,Ryanair,2026-06-23T06:30:00.000,2026-06-23T10:30:00.000,BOH,FUE
2026-06-28,FR 8946,,Ryanair,2026-06-28T08:40:00.000,2026-06-28T12:40:00.000,BOH,FUE
2026-06-30,FR 8946,,Ryanair,2026-06-30T06:30:00.000,2026-06-30T10:30:00.000,BOH,FUE
2026-07-05,FR 8946,,Ryanair,2026-07-05T08:40:00.000,2026-07-05T12:40:00.000,BOH,FUE
2026-07-07,FR 8946,,Ryanair,2026-07-07T06:30:00.000,2026-07-07T10:30:00.000,BOH,FUE
2026-07-12,FR 8946,,Ryanair,2026-07-12T08:40:00.000,2026-07-12T12:40:00.000,BOH,FUE
2026-07-14,FR 8946,,Ryanair,2026-07-14T06:30:00.000,2026-07-14T10:30:00.000,BOH,FUE
2026-07-19,FR 8946,,Ryanair,2026-07-19T08:40:00.000,2026-07-19T12:40:00.000,BOH,FUE
2026-07-21,FR 8946,,Ryanair,2026-07-21T06:30:00.000,2026-07-21T10:30:00.000,BOH,FUE
2026-07-26,FR 8946,,Ryanair,2026-07-26T08:40:00.000,2026-07-26T12:40:00.000,BOH,FUE
2026-07-28,FR 8946,,Ryanair,2026-07-28T06:30:00.000,2026-07-28T10:30:00.000,BOH,FUE
2026-08-02,FR 8946,,Ryanair,2026-08-02T08:40:00.000,2026-08-02T12:40:00.000,BOH,FUE
2026-08-04,FR 8946,,Ryanair,2026-08-04T06:30:00.000,2026-08-04T10:30:00.000,BOH,FUE
2026-08-09,FR 8946,,Ryanair,2026-08-09T08:40:00.000,2026-08-09T12:40:00.000,BOH,FUE
2026-08-11,FR 8946,,Ryanair,2026-08-11T06:30:00.000,2026-08-11T10:30:00.000,BOH,FUE
2026-08-16,FR 8946,,Ryanair,2026-08-16T08:40:00.000,2026-08-16T12:40:00.000,BOH,FUE
2026-08-18,FR 8946,,Ryanair,2026-08-18T06:30:00.000,2026-08-18T10:30:00.000,BOH,FUE
2026-08-23,FR 8946,,Ryanair,2026-08-23T08:40:00.000,2026-08-23T12:40:00.000,BOH,FUE
2026-08-25,FR 8946,,Ryanair,2026-08-25T06:30:00.000,2026-08-25T10:30:00.000,BOH,FUE
2026-08-30,FR 8946,,Ryanair,2026-08-30T08:40:00.000,2026-08-30T12:40:00.000,BOH,FUE
