date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 5523,,Ryanair,2026-05-02T16:05:00.000,2026-05-02T19:35:00.000,BOH,KRK
2026-05-03,FR 5723,Buzz,Ryanair,2026-05-03T08:15:00.000,2026-05-03T11:45:00.000,BOH,KRK
2026-05-06,FR 5523,Buzz,Ryanair,2026-05-06T09:25:00.000,2026-05-06T12:55:00.000,BOH,KRK
2026-05-09,FR 5523,,Ryanair,2026-05-09T16:05:00.000,2026-05-09T19:35:00.000,BOH,KRK
2026-05-10,FR 5723,Buzz,Ryanair,2026-05-10T08:15:00.000,2026-05-10T11:45:00.000,BOH,KRK
2026-05-13,FR 5523,Buzz,Ryanair,2026-05-13T09:25:00.000,2026-05-13T12:55:00.000,BOH,KRK
2026-05-16,FR 5523,,Ryanair,2026-05-16T16:05:00.000,2026-05-16T19:35:00.000,BOH,KRK
2026-05-17,FR 5723,Buzz,Ryanair,2026-05-17T08:15:00.000,2026-05-17T11:45:00.000,BOH,KRK
2026-05-20,FR 5523,Buzz,Ryanair,2026-05-20T09:25:00.000,2026-05-20T12:55:00.000,BOH,KRK
2026-05-23,FR 5523,,Ryanair,2026-05-23T16:05:00.000,2026-05-23T19:35:00.000,BOH,KRK
2026-05-24,FR 5723,Buzz,Ryanair,2026-05-24T08:15:00.000,2026-05-24T11:45:00.000,BOH,KRK
2026-05-27,FR 5523,Buzz,Ryanair,2026-05-27T09:25:00.000,2026-05-27T12:55:00.000,BOH,KRK
2026-05-30,FR 5523,,Ryanair,2026-05-30T16:05:00.000,2026-05-30T19:35:00.000,BOH,KRK
2026-05-31,FR 5723,Buzz,Ryanair,2026-05-31T08:15:00.000,2026-05-31T11:45:00.000,BOH,KRK
2026-06-03,FR 5523,Buzz,Ryanair,2026-06-03T09:25:00.000,2026-06-03T12:55:00.000,BOH,KRK
2026-06-06,FR 5523,,Ryanair,2026-06-06T16:05:00.000,2026-06-06T19:35:00.000,BOH,KRK
2026-06-07,FR 5723,Buzz,Ryanair,2026-06-07T08:25:00.000,2026-06-07T11:55:00.000,BOH,KRK
2026-06-10,FR 5523,Buzz,Ryanair,2026-06-10T09:25:00.000,2026-06-10T12:55:00.000,BOH,KRK
2026-06-13,FR 5523,,Ryanair,2026-06-13T16:05:00.000,2026-06-13T19:35:00.000,BOH,KRK
2026-06-14,FR 5723,Buzz,Ryanair,2026-06-14T08:25:00.000,2026-06-14T11:55:00.000,BOH,KRK
2026-06-17,FR 5523,Buzz,Ryanair,2026-06-17T09:25:00.000,2026-06-17T12:55:00.000,BOH,KRK
2026-06-20,FR 5523,,Ryanair,2026-06-20T16:05:00.000,2026-06-20T19:35:00.000,BOH,KRK
2026-06-21,FR 5723,Buzz,Ryanair,2026-06-21T08:25:00.000,2026-06-21T11:55:00.000,BOH,KRK
2026-06-24,FR 5523,Buzz,Ryanair,2026-06-24T09:25:00.000,2026-06-24T12:55:00.000,BOH,KRK
2026-06-27,FR 5523,,Ryanair,2026-06-27T16:05:00.000,2026-06-27T19:35:00.000,BOH,KRK
2026-06-28,FR 5723,Buzz,Ryanair,2026-06-28T08:25:00.000,2026-06-28T11:55:00.000,BOH,KRK
2026-07-01,FR 5523,Buzz,Ryanair,2026-07-01T09:25:00.000,2026-07-01T12:55:00.000,BOH,KRK
2026-07-04,FR 5523,,Ryanair,2026-07-04T16:05:00.000,2026-07-04T19:35:00.000,BOH,KRK
2026-07-05,FR 5723,Buzz,Ryanair,2026-07-05T08:25:00.000,2026-07-05T11:55:00.000,BOH,KRK
2026-07-08,FR 5523,Buzz,Ryanair,2026-07-08T09:25:00.000,2026-07-08T12:55:00.000,BOH,KRK
2026-07-11,FR 5523,,Ryanair,2026-07-11T16:05:00.000,2026-07-11T19:35:00.000,BOH,KRK
2026-07-12,FR 5723,Buzz,Ryanair,2026-07-12T08:25:00.000,2026-07-12T11:55:00.000,BOH,KRK
2026-07-15,FR 5523,Buzz,Ryanair,2026-07-15T09:25:00.000,2026-07-15T12:55:00.000,BOH,KRK
2026-07-18,FR 5523,,Ryanair,2026-07-18T16:05:00.000,2026-07-18T19:35:00.000,BOH,KRK
2026-07-19,FR 5723,Buzz,Ryanair,2026-07-19T08:25:00.000,2026-07-19T11:55:00.000,BOH,KRK
2026-07-22,FR 5523,Buzz,Ryanair,2026-07-22T09:25:00.000,2026-07-22T12:55:00.000,BOH,KRK
2026-07-25,FR 5523,,Ryanair,2026-07-25T16:05:00.000,2026-07-25T19:35:00.000,BOH,KRK
2026-07-26,FR 5723,Buzz,Ryanair,2026-07-26T08:25:00.000,2026-07-26T11:55:00.000,BOH,KRK
2026-07-29,FR 5523,Buzz,Ryanair,2026-07-29T09:25:00.000,2026-07-29T12:55:00.000,BOH,KRK
2026-08-01,FR 5523,,Ryanair,2026-08-01T16:05:00.000,2026-08-01T19:35:00.000,BOH,KRK
2026-08-02,FR 5723,Buzz,Ryanair,2026-08-02T08:25:00.000,2026-08-02T11:55:00.000,BOH,KRK
2026-08-05,FR 5523,Buzz,Ryanair,2026-08-05T09:25:00.000,2026-08-05T12:55:00.000,BOH,KRK
2026-08-08,FR 5523,,Ryanair,2026-08-08T16:05:00.000,2026-08-08T19:35:00.000,BOH,KRK
2026-08-09,FR 5723,Buzz,Ryanair,2026-08-09T08:25:00.000,2026-08-09T11:55:00.000,BOH,KRK
2026-08-12,FR 5523,Buzz,Ryanair,2026-08-12T09:25:00.000,2026-08-12T12:55:00.000,BOH,KRK
2026-08-15,FR 5523,,Ryanair,2026-08-15T16:05:00.000,2026-08-15T19:35:00.000,BOH,KRK
2026-08-16,FR 5723,Buzz,Ryanair,2026-08-16T08:25:00.000,2026-08-16T11:55:00.000,BOH,KRK
2026-08-19,FR 5523,Buzz,Ryanair,2026-08-19T09:25:00.000,2026-08-19T12:55:00.000,BOH,KRK
2026-08-22,FR 5523,,Ryanair,2026-08-22T16:05:00.000,2026-08-22T19:35:00.000,BOH,KRK
2026-08-23,FR 5723,Buzz,Ryanair,2026-08-23T08:25:00.000,2026-08-23T11:55:00.000,BOH,KRK
2026-08-26,FR 5523,Buzz,Ryanair,2026-08-26T09:25:00.000,2026-08-26T12:55:00.000,BOH,KRK
2026-08-29,FR 5523,,Ryanair,2026-08-29T16:05:00.000,2026-08-29T19:35:00.000,BOH,KRK
2026-08-30,FR 5723,Buzz,Ryanair,2026-08-30T08:25:00.000,2026-08-30T11:55:00.000,BOH,KRK
