date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-06,FR 6764,,Ryanair,2026-05-06T07:45:00.000,2026-05-06T11:55:00.000,BOH,LPA
2026-05-13,FR 6764,,Ryanair,2026-05-13T07:45:00.000,2026-05-13T11:55:00.000,BOH,LPA
2026-05-20,FR 6764,,Ryanair,2026-05-20T07:45:00.000,2026-05-20T11:55:00.000,BOH,LPA
2026-05-27,FR 6764,,Ryanair,2026-05-27T07:45:00.000,2026-05-27T11:55:00.000,BOH,LPA
2026-06-03,FR 6764,,Ryanair,2026-06-03T07:45:00.000,2026-06-03T11:55:00.000,BOH,LPA
2026-06-10,FR 6764,,Ryanair,2026-06-10T07:45:00.000,2026-06-10T11:55:00.000,BOH,LPA
2026-06-17,FR 6764,,Ryanair,2026-06-17T07:45:00.000,2026-06-17T11:55:00.000,BOH,LPA
2026-06-24,FR 6764,,Ryanair,2026-06-24T07:45:00.000,2026-06-24T11:55:00.000,BOH,LPA
2026-07-01,FR 6764,,Ryanair,2026-07-01T07:45:00.000,2026-07-01T11:55:00.000,BOH,LPA
2026-07-08,FR 6764,,Ryanair,2026-07-08T07:45:00.000,2026-07-08T11:55:00.000,BOH,LPA
2026-07-15,FR 6764,,Ryanair,2026-07-15T07:45:00.000,2026-07-15T11:55:00.000,BOH,LPA
2026-07-22,FR 6764,,Ryanair,2026-07-22T07:45:00.000,2026-07-22T11:55:00.000,BOH,LPA
2026-07-29,FR 6764,,Ryanair,2026-07-29T07:45:00.000,2026-07-29T11:55:00.000,BOH,LPA
2026-08-05,FR 6764,,Ryanair,2026-08-05T07:45:00.000,2026-08-05T11:55:00.000,BOH,LPA
2026-08-12,FR 6764,,Ryanair,2026-08-12T07:45:00.000,2026-08-12T11:55:00.000,BOH,LPA
2026-08-19,FR 6764,,Ryanair,2026-08-19T07:45:00.000,2026-08-19T11:55:00.000,BOH,LPA
2026-08-26,FR 6764,,Ryanair,2026-08-26T07:45:00.000,2026-08-26T11:55:00.000,BOH,LPA
