date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-01,FR 8316,,Ryanair,2026-05-01T06:40:00.000,2026-05-01T10:50:00.000,BOH,MLA
2026-05-02,FR 8316,Malta Air,Ryanair,2026-05-02T08:35:00.000,2026-05-02T12:45:00.000,BOH,MLA
2026-05-05,FR 8316,Malta Air,Ryanair,2026-05-05T21:10:00.000,2026-05-06T01:20:00.000,BOH,MLA
2026-05-08,FR 8316,,Ryanair,2026-05-08T06:40:00.000,2026-05-08T10:50:00.000,BOH,MLA
2026-05-09,FR 8316,Malta Air,Ryanair,2026-05-09T08:35:00.000,2026-05-09T12:45:00.000,BOH,MLA
2026-05-12,FR 8316,Malta Air,Ryanair,2026-05-12T21:10:00.000,2026-05-13T01:20:00.000,BOH,MLA
2026-05-15,FR 8316,,Ryanair,2026-05-15T06:40:00.000,2026-05-15T10:50:00.000,BOH,MLA
2026-05-16,FR 8316,Malta Air,Ryanair,2026-05-16T08:35:00.000,2026-05-16T12:45:00.000,BOH,MLA
2026-05-19,FR 8316,Malta Air,Ryanair,2026-05-19T21:10:00.000,2026-05-20T01:20:00.000,BOH,MLA
2026-05-22,FR 8316,,Ryanair,2026-05-22T06:40:00.000,2026-05-22T10:50:00.000,BOH,MLA
2026-05-23,FR 8316,Malta Air,Ryanair,2026-05-23T08:35:00.000,2026-05-23T12:45:00.000,BOH,MLA
2026-05-26,FR 8316,Malta Air,Ryanair,2026-05-26T21:10:00.000,2026-05-27T01:20:00.000,BOH,MLA
2026-05-29,FR 8316,,Ryanair,2026-05-29T06:40:00.000,2026-05-29T10:50:00.000,BOH,MLA
2026-05-30,FR 8316,Malta Air,Ryanair,2026-05-30T08:35:00.000,2026-05-30T12:45:00.000,BOH,MLA
2026-06-02,FR 8316,Malta Air,Ryanair,2026-06-02T21:10:00.000,2026-06-03T01:20:00.000,BOH,MLA
2026-06-05,FR 8316,,Ryanair,2026-06-05T06:40:00.000,2026-06-05T10:50:00.000,BOH,MLA
2026-06-06,FR 8316,Malta Air,Ryanair,2026-06-06T08:35:00.000,2026-06-06T12:45:00.000,BOH,MLA
2026-06-09,FR 8316,Malta Air,Ryanair,2026-06-09T21:10:00.000,2026-06-10T01:20:00.000,BOH,MLA
2026-06-12,FR 8316,,Ryanair,2026-06-12T06:40:00.000,2026-06-12T10:50:00.000,BOH,MLA
2026-06-13,FR 8316,Malta Air,Ryanair,2026-06-13T08:35:00.000,2026-06-13T12:45:00.000,BOH,MLA
2026-06-16,FR 8316,Malta Air,Ryanair,2026-06-16T21:10:00.000,2026-06-17T01:20:00.000,BOH,MLA
2026-06-19,FR 8316,,Ryanair,2026-06-19T06:40:00.000,2026-06-19T10:50:00.000,BOH,MLA
2026-06-20,FR 8316,Malta Air,Ryanair,2026-06-20T08:35:00.000,2026-06-20T12:45:00.000,BOH,MLA
2026-06-23,FR 8316,Malta Air,Ryanair,2026-06-23T21:10:00.000,2026-06-24T01:20:00.000,BOH,MLA
2026-06-26,FR 8316,,Ryanair,2026-06-26T06:40:00.000,2026-06-26T10:50:00.000,BOH,MLA
2026-06-27,FR 8316,Malta Air,Ryanair,2026-06-27T08:35:00.000,2026-06-27T12:45:00.000,BOH,MLA
2026-06-30,FR 8316,Malta Air,Ryanair,2026-06-30T21:10:00.000,2026-07-01T01:20:00.000,BOH,MLA
2026-07-03,FR 8316,,Ryanair,2026-07-03T06:40:00.000,2026-07-03T10:50:00.000,BOH,MLA
2026-07-04,FR 8316,Malta Air,Ryanair,2026-07-04T08:35:00.000,2026-07-04T12:45:00.000,BOH,MLA
2026-07-07,FR 8316,Malta Air,Ryanair,2026-07-07T21:10:00.000,2026-07-08T01:20:00.000,BOH,MLA
2026-07-10,FR 8316,,Ryanair,2026-07-10T06:40:00.000,2026-07-10T10:50:00.000,BOH,MLA
2026-07-11,FR 8316,Malta Air,Ryanair,2026-07-11T08:35:00.000,2026-07-11T12:45:00.000,BOH,MLA
2026-07-14,FR 8316,Malta Air,Ryanair,2026-07-14T21:10:00.000,2026-07-15T01:20:00.000,BOH,MLA
2026-07-17,FR 8316,,Ryanair,2026-07-17T06:40:00.000,2026-07-17T10:50:00.000,BOH,MLA
2026-07-18,FR 8316,Malta Air,Ryanair,2026-07-18T08:35:00.000,2026-07-18T12:45:00.000,BOH,MLA
2026-07-21,FR 8316,Malta Air,Ryanair,2026-07-21T21:10:00.000,2026-07-22T01:20:00.000,BOH,MLA
2026-07-24,FR 8316,,Ryanair,2026-07-24T06:40:00.000,2026-07-24T10:50:00.000,BOH,MLA
2026-07-25,FR 8316,Malta Air,Ryanair,2026-07-25T08:35:00.000,2026-07-25T12:45:00.000,BOH,MLA
2026-07-28,FR 8316,Malta Air,Ryanair,2026-07-28T21:10:00.000,2026-07-29T01:20:00.000,BOH,MLA
2026-07-31,FR 8316,,Ryanair,2026-07-31T06:40:00.000,2026-07-31T10:50:00.000,BOH,MLA
2026-08-01,FR 8316,Malta Air,Ryanair,2026-08-01T08:35:00.000,2026-08-01T12:45:00.000,BOH,MLA
2026-08-04,FR 8316,Malta Air,Ryanair,2026-08-04T21:10:00.000,2026-08-05T01:20:00.000,BOH,MLA
2026-08-07,FR 8316,,Ryanair,2026-08-07T06:40:00.000,2026-08-07T10:50:00.000,BOH,MLA
2026-08-08,FR 8316,Malta Air,Ryanair,2026-08-08T08:35:00.000,2026-08-08T12:45:00.000,BOH,MLA
2026-08-11,FR 8316,Malta Air,Ryanair,2026-08-11T21:10:00.000,2026-08-12T01:20:00.000,BOH,MLA
2026-08-14,FR 8316,,Ryanair,2026-08-14T06:40:00.000,2026-08-14T10:50:00.000,BOH,MLA
2026-08-15,FR 8316,Malta Air,Ryanair,2026-08-15T08:35:00.000,2026-08-15T12:45:00.000,BOH,MLA
2026-08-18,FR 8316,Malta Air,Ryanair,2026-08-18T21:10:00.000,2026-08-19T01:20:00.000,BOH,MLA
2026-08-21,FR 8316,,Ryanair,2026-08-21T06:40:00.000,2026-08-21T10:50:00.000,BOH,MLA
2026-08-22,FR 8316,Malta Air,Ryanair,2026-08-22T08:35:00.000,2026-08-22T12:45:00.000,BOH,MLA
