date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-01,FR 8954,,Ryanair,2026-06-01T08:15:00.000,2026-06-01T14:15:00.000,BOH,RHO
2026-06-04,FR 8954,,Ryanair,2026-06-04T07:15:00.000,2026-06-04T13:15:00.000,BOH,RHO
2026-06-08,FR 8954,,Ryanair,2026-06-08T08:15:00.000,2026-06-08T14:15:00.000,BOH,RHO
2026-06-11,FR 8954,,Ryanair,2026-06-11T07:15:00.000,2026-06-11T13:15:00.000,BOH,RHO
2026-06-15,FR 8954,,Ryanair,2026-06-15T08:15:00.000,2026-06-15T14:15:00.000,BOH,RHO
2026-06-18,FR 8954,,Ryanair,2026-06-18T07:15:00.000,2026-06-18T13:15:00.000,BOH,RHO
2026-06-22,FR 8954,,Ryanair,2026-06-22T08:15:00.000,2026-06-22T14:15:00.000,BOH,RHO
2026-06-25,FR 8954,,Ryanair,2026-06-25T07:15:00.000,2026-06-25T13:15:00.000,BOH,RHO
2026-06-29,FR 8954,,Ryanair,2026-06-29T08:15:00.000,2026-06-29T14:15:00.000,BOH,RHO
2026-07-02,FR 8954,,Ryanair,2026-07-02T07:15:00.000,2026-07-02T13:15:00.000,BOH,RHO
2026-07-06,FR 8954,,Ryanair,2026-07-06T08:15:00.000,2026-07-06T14:15:00.000,BOH,RHO
2026-07-09,FR 8954,,Ryanair,2026-07-09T07:15:00.000,2026-07-09T13:15:00.000,BOH,RHO
2026-07-13,FR 8954,,Ryanair,2026-07-13T08:15:00.000,2026-07-13T14:15:00.000,BOH,RHO
2026-07-16,FR 8954,,Ryanair,2026-07-16T07:15:00.000,2026-07-16T13:15:00.000,BOH,RHO
2026-07-20,FR 8954,,Ryanair,2026-07-20T08:15:00.000,2026-07-20T14:15:00.000,BOH,RHO
2026-07-23,FR 8954,,Ryanair,2026-07-23T07:15:00.000,2026-07-23T13:15:00.000,BOH,RHO
2026-07-27,FR 8954,,Ryanair,2026-07-27T08:15:00.000,2026-07-27T14:15:00.000,BOH,RHO
2026-07-30,FR 8954,,Ryanair,2026-07-30T07:15:00.000,2026-07-30T13:15:00.000,BOH,RHO
2026-08-03,FR 8954,,Ryanair,2026-08-03T08:15:00.000,2026-08-03T14:15:00.000,BOH,RHO
2026-08-06,FR 8954,,Ryanair,2026-08-06T07:15:00.000,2026-08-06T13:15:00.000,BOH,RHO
2026-08-10,FR 8954,,Ryanair,2026-08-10T08:15:00.000,2026-08-10T14:15:00.000,BOH,RHO
2026-08-13,FR 8954,,Ryanair,2026-08-13T07:15:00.000,2026-08-13T13:15:00.000,BOH,RHO
2026-08-17,FR 8954,,Ryanair,2026-08-17T08:15:00.000,2026-08-17T14:15:00.000,BOH,RHO
2026-08-20,FR 8954,,Ryanair,2026-08-20T07:15:00.000,2026-08-20T13:15:00.000,BOH,RHO
2026-08-24,FR 8954,,Ryanair,2026-08-24T08:15:00.000,2026-08-24T14:15:00.000,BOH,RHO
2026-08-27,FR 8954,,Ryanair,2026-08-27T07:15:00.000,2026-08-27T13:15:00.000,BOH,RHO
2026-08-31,FR 8954,,Ryanair,2026-08-31T08:15:00.000,2026-08-31T14:15:00.000,BOH,RHO
