date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 1178,,Ryanair,2026-05-02T10:25:00.000,2026-05-02T14:35:00.000,BOH,TFS
2026-05-05,FR 1178,,Ryanair,2026-05-05T21:00:00.000,2026-05-06T01:10:00.000,BOH,TFS
2026-05-09,FR 1178,,Ryanair,2026-05-09T10:25:00.000,2026-05-09T14:35:00.000,BOH,TFS
2026-05-12,FR 1178,,Ryanair,2026-05-12T21:00:00.000,2026-05-13T01:10:00.000,BOH,TFS
2026-05-16,FR 1178,,Ryanair,2026-05-16T10:25:00.000,2026-05-16T14:35:00.000,BOH,TFS
2026-05-19,FR 1178,,Ryanair,2026-05-19T21:00:00.000,2026-05-20T01:10:00.000,BOH,TFS
2026-05-23,FR 1178,,Ryanair,2026-05-23T10:25:00.000,2026-05-23T14:35:00.000,BOH,TFS
2026-05-26,FR 1178,,Ryanair,2026-05-26T21:00:00.000,2026-05-27T01:10:00.000,BOH,TFS
2026-05-30,FR 1178,,Ryanair,2026-05-30T10:25:00.000,2026-05-30T14:35:00.000,BOH,TFS
2026-06-02,FR 1178,,Ryanair,2026-06-02T21:00:00.000,2026-06-03T01:10:00.000,BOH,TFS
2026-06-06,FR 1178,,Ryanair,2026-06-06T10:25:00.000,2026-06-06T14:35:00.000,BOH,TFS
2026-06-09,FR 1178,,Ryanair,2026-06-09T21:00:00.000,2026-06-10T01:10:00.000,BOH,TFS
2026-06-13,FR 1178,,Ryanair,2026-06-13T10:25:00.000,2026-06-13T14:35:00.000,BOH,TFS
2026-06-16,FR 1178,,Ryanair,2026-06-16T21:00:00.000,2026-06-17T01:10:00.000,BOH,TFS
2026-06-20,FR 1178,,Ryanair,2026-06-20T10:25:00.000,2026-06-20T14:35:00.000,BOH,TFS
2026-06-23,FR 1178,,Ryanair,2026-06-23T21:00:00.000,2026-06-24T01:10:00.000,BOH,TFS
2026-06-27,FR 1178,,Ryanair,2026-06-27T10:25:00.000,2026-06-27T14:35:00.000,BOH,TFS
2026-06-30,FR 1178,,Ryanair,2026-06-30T21:00:00.000,2026-07-01T01:10:00.000,BOH,TFS
2026-07-04,FR 1178,,Ryanair,2026-07-04T10:25:00.000,2026-07-04T14:35:00.000,BOH,TFS
2026-07-07,FR 1178,,Ryanair,2026-07-07T21:00:00.000,2026-07-08T01:10:00.000,BOH,TFS
2026-07-11,FR 1178,,Ryanair,2026-07-11T10:25:00.000,2026-07-11T14:35:00.000,BOH,TFS
2026-07-14,FR 1178,,Ryanair,2026-07-14T21:00:00.000,2026-07-15T01:10:00.000,BOH,TFS
2026-07-18,FR 1178,,Ryanair,2026-07-18T10:25:00.000,2026-07-18T14:35:00.000,BOH,TFS
2026-07-21,FR 1178,,Ryanair,2026-07-21T21:00:00.000,2026-07-22T01:10:00.000,BOH,TFS
2026-07-25,FR 1178,,Ryanair,2026-07-25T10:25:00.000,2026-07-25T14:35:00.000,BOH,TFS
2026-07-28,FR 1178,,Ryanair,2026-07-28T21:00:00.000,2026-07-29T01:10:00.000,BOH,TFS
2026-08-01,FR 1178,,Ryanair,2026-08-01T10:25:00.000,2026-08-01T14:35:00.000,BOH,TFS
2026-08-04,FR 1178,,Ryanair,2026-08-04T21:00:00.000,2026-08-05T01:10:00.000,BOH,TFS
2026-08-08,FR 1178,,Ryanair,2026-08-08T10:25:00.000,2026-08-08T14:35:00.000,BOH,TFS
2026-08-11,FR 1178,,Ryanair,2026-08-11T21:00:00.000,2026-08-12T01:10:00.000,BOH,TFS
2026-08-15,FR 1178,,Ryanair,2026-08-15T10:25:00.000,2026-08-15T14:35:00.000,BOH,TFS
2026-08-18,FR 1178,,Ryanair,2026-08-18T21:00:00.000,2026-08-19T01:10:00.000,BOH,TFS
2026-08-22,FR 1178,,Ryanair,2026-08-22T10:25:00.000,2026-08-22T14:35:00.000,BOH,TFS
2026-08-25,FR 1178,,Ryanair,2026-08-25T21:00:00.000,2026-08-26T01:10:00.000,BOH,TFS
2026-08-29,FR 1178,,Ryanair,2026-08-29T10:25:00.000,2026-08-29T14:35:00.000,BOH,TFS
