date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 6503,Malta Air,Ryanair,2026-05-02T08:10:00.000,2026-05-02T12:10:00.000,BOH,TPS
2026-05-05,FR 6503,,Ryanair,2026-05-05T15:45:00.000,2026-05-05T19:45:00.000,BOH,TPS
2026-05-09,FR 6503,Malta Air,Ryanair,2026-05-09T08:10:00.000,2026-05-09T12:10:00.000,BOH,TPS
2026-05-12,FR 6503,,Ryanair,2026-05-12T15:45:00.000,2026-05-12T19:45:00.000,BOH,TPS
2026-05-16,FR 6503,Malta Air,Ryanair,2026-05-16T08:10:00.000,2026-05-16T12:10:00.000,BOH,TPS
2026-05-19,FR 6503,,Ryanair,2026-05-19T15:45:00.000,2026-05-19T19:45:00.000,BOH,TPS
2026-05-23,FR 6503,Malta Air,Ryanair,2026-05-23T08:10:00.000,2026-05-23T12:10:00.000,BOH,TPS
2026-05-26,FR 6503,,Ryanair,2026-05-26T15:45:00.000,2026-05-26T19:45:00.000,BOH,TPS
2026-05-30,FR 6503,Malta Air,Ryanair,2026-05-30T08:10:00.000,2026-05-30T12:10:00.000,BOH,TPS
2026-06-02,FR 6503,,Ryanair,2026-06-02T15:45:00.000,2026-06-02T19:45:00.000,BOH,TPS
2026-06-06,FR 6503,Malta Air,Ryanair,2026-06-06T08:10:00.000,2026-06-06T12:10:00.000,BOH,TPS
2026-06-09,FR 6503,,Ryanair,2026-06-09T15:45:00.000,2026-06-09T19:45:00.000,BOH,TPS
2026-06-13,FR 6503,Malta Air,Ryanair,2026-06-13T08:10:00.000,2026-06-13T12:10:00.000,BOH,TPS
2026-06-16,FR 6503,,Ryanair,2026-06-16T15:45:00.000,2026-06-16T19:45:00.000,BOH,TPS
2026-06-20,FR 6503,Malta Air,Ryanair,2026-06-20T08:10:00.000,2026-06-20T12:10:00.000,BOH,TPS
2026-06-23,FR 6503,,Ryanair,2026-06-23T15:45:00.000,2026-06-23T19:45:00.000,BOH,TPS
2026-06-27,FR 6503,Malta Air,Ryanair,2026-06-27T08:10:00.000,2026-06-27T12:10:00.000,BOH,TPS
2026-06-30,FR 6503,,Ryanair,2026-06-30T15:45:00.000,2026-06-30T19:45:00.000,BOH,TPS
2026-07-04,FR 6503,Malta Air,Ryanair,2026-07-04T08:10:00.000,2026-07-04T12:10:00.000,BOH,TPS
2026-07-07,FR 6503,,Ryanair,2026-07-07T15:45:00.000,2026-07-07T19:45:00.000,BOH,TPS
2026-07-11,FR 6503,Malta Air,Ryanair,2026-07-11T08:10:00.000,2026-07-11T12:10:00.000,BOH,TPS
2026-07-14,FR 6503,,Ryanair,2026-07-14T15:45:00.000,2026-07-14T19:45:00.000,BOH,TPS
2026-07-18,FR 6503,Malta Air,Ryanair,2026-07-18T08:10:00.000,2026-07-18T12:10:00.000,BOH,TPS
2026-07-21,FR 6503,,Ryanair,2026-07-21T15:45:00.000,2026-07-21T19:45:00.000,BOH,TPS
2026-07-25,FR 6503,Malta Air,Ryanair,2026-07-25T08:10:00.000,2026-07-25T12:10:00.000,BOH,TPS
2026-07-28,FR 6503,,Ryanair,2026-07-28T15:45:00.000,2026-07-28T19:45:00.000,BOH,TPS
2026-08-01,FR 6503,Malta Air,Ryanair,2026-08-01T08:10:00.000,2026-08-01T12:10:00.000,BOH,TPS
2026-08-04,FR 6503,,Ryanair,2026-08-04T15:45:00.000,2026-08-04T19:45:00.000,BOH,TPS
2026-08-08,FR 6503,Malta Air,Ryanair,2026-08-08T08:10:00.000,2026-08-08T12:10:00.000,BOH,TPS
2026-08-11,FR 6503,,Ryanair,2026-08-11T15:45:00.000,2026-08-11T19:45:00.000,BOH,TPS
2026-08-15,FR 6503,Malta Air,Ryanair,2026-08-15T08:10:00.000,2026-08-15T12:10:00.000,BOH,TPS
2026-08-18,FR 6503,,Ryanair,2026-08-18T15:45:00.000,2026-08-18T19:45:00.000,BOH,TPS
2026-08-22,FR 6503,Malta Air,Ryanair,2026-08-22T08:10:00.000,2026-08-22T12:10:00.000,BOH,TPS
2026-08-25,FR 6503,,Ryanair,2026-08-25T15:45:00.000,2026-08-25T19:45:00.000,BOH,TPS
2026-08-29,FR 6503,Malta Air,Ryanair,2026-08-29T08:10:00.000,2026-08-29T12:10:00.000,BOH,TPS
