date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-05-02,FR 3317,Buzz,Ryanair,2026-05-02T16:25:00.000,2026-05-02T19:35:00.000,BOH,WRO
2026-05-06,FR 3317,,Ryanair,2026-05-06T13:15:00.000,2026-05-06T16:25:00.000,BOH,WRO
2026-05-09,FR 3317,Buzz,Ryanair,2026-05-09T16:25:00.000,2026-05-09T19:35:00.000,BOH,WRO
2026-05-13,FR 3317,,Ryanair,2026-05-13T13:15:00.000,2026-05-13T16:25:00.000,BOH,WRO
2026-05-16,FR 3317,Buzz,Ryanair,2026-05-16T16:25:00.000,2026-05-16T19:35:00.000,BOH,WRO
2026-05-20,FR 3317,,Ryanair,2026-05-20T13:15:00.000,2026-05-20T16:25:00.000,BOH,WRO
2026-05-23,FR 3317,Buzz,Ryanair,2026-05-23T16:25:00.000,2026-05-23T19:35:00.000,BOH,WRO
2026-05-27,FR 3317,,Ryanair,2026-05-27T13:15:00.000,2026-05-27T16:25:00.000,BOH,WRO
2026-05-30,FR 3317,Buzz,Ryanair,2026-05-30T16:25:00.000,2026-05-30T19:35:00.000,BOH,WRO
2026-06-03,FR 3317,,Ryanair,2026-06-03T13:15:00.000,2026-06-03T16:25:00.000,BOH,WRO
2026-06-06,FR 3317,Buzz,Ryanair,2026-06-06T16:25:00.000,2026-06-06T19:35:00.000,BOH,WRO
2026-06-10,FR 3317,,Ryanair,2026-06-10T13:15:00.000,2026-06-10T16:25:00.000,BOH,WRO
2026-06-13,FR 3317,Buzz,Ryanair,2026-06-13T16:25:00.000,2026-06-13T19:35:00.000,BOH,WRO
2026-06-17,FR 3317,,Ryanair,2026-06-17T13:15:00.000,2026-06-17T16:25:00.000,BOH,WRO
2026-06-20,FR 3317,Buzz,Ryanair,2026-06-20T16:25:00.000,2026-06-20T19:35:00.000,BOH,WRO
2026-06-24,FR 3317,,Ryanair,2026-06-24T13:15:00.000,2026-06-24T16:25:00.000,BOH,WRO
2026-06-27,FR 3317,Buzz,Ryanair,2026-06-27T16:25:00.000,2026-06-27T19:35:00.000,BOH,WRO
2026-07-01,FR 3317,,Ryanair,2026-07-01T13:15:00.000,2026-07-01T16:25:00.000,BOH,WRO
2026-07-04,FR 3317,Buzz,Ryanair,2026-07-04T16:25:00.000,2026-07-04T19:35:00.000,BOH,WRO
2026-07-08,FR 3317,,Ryanair,2026-07-08T13:15:00.000,2026-07-08T16:25:00.000,BOH,WRO
2026-07-11,FR 3317,Buzz,Ryanair,2026-07-11T16:25:00.000,2026-07-11T19:35:00.000,BOH,WRO
2026-07-15,FR 3317,,Ryanair,2026-07-15T13:15:00.000,2026-07-15T16:25:00.000,BOH,WRO
2026-07-18,FR 3317,Buzz,Ryanair,2026-07-18T16:25:00.000,2026-07-18T19:35:00.000,BOH,WRO
2026-07-22,FR 3317,,Ryanair,2026-07-22T13:15:00.000,2026-07-22T16:25:00.000,BOH,WRO
2026-07-25,FR 3317,Buzz,Ryanair,2026-07-25T16:25:00.000,2026-07-25T19:35:00.000,BOH,WRO
2026-07-29,FR 3317,,Ryanair,2026-07-29T13:15:00.000,2026-07-29T16:25:00.000,BOH,WRO
2026-08-01,FR 3317,Buzz,Ryanair,2026-08-01T16:25:00.000,2026-08-01T19:35:00.000,BOH,WRO
2026-08-05,FR 3317,,Ryanair,2026-08-05T13:15:00.000,2026-08-05T16:25:00.000,BOH,WRO
2026-08-08,FR 3317,Buzz,Ryanair,2026-08-08T16:25:00.000,2026-08-08T19:35:00.000,BOH,WRO
2026-08-12,FR 3317,,Ryanair,2026-08-12T13:15:00.000,2026-08-12T16:25:00.000,BOH,WRO
2026-08-15,FR 3317,Buzz,Ryanair,2026-08-15T16:25:00.000,2026-08-15T19:35:00.000,BOH,WRO
2026-08-19,FR 3317,,Ryanair,2026-08-19T13:15:00.000,2026-08-19T16:25:00.000,BOH,WRO
2026-08-22,FR 3317,Buzz,Ryanair,2026-08-22T16:25:00.000,2026-08-22T19:35:00.000,BOH,WRO
2026-08-26,FR 3317,,Ryanair,2026-08-26T13:15:00.000,2026-08-26T16:25:00.000,BOH,WRO
2026-08-29,FR 3317,Buzz,Ryanair,2026-08-29T16:25:00.000,2026-08-29T19:35:00.000,BOH,WRO
