date,flight_number,airline_code,airline_name,departure_time,arrival_time,origin_code,destination_code
2026-06-03,FR 1240,Lauda Europe,Ryanair,2026-06-03T11:45:00.000,2026-06-03T15:10:00.000,BOH,ZAD
2026-06-06,FR 1240,,Ryanair,2026-06-06T07:10:00.000,2026-06-06T10:35:00.000,BOH,ZAD
2026-06-10,FR 1240,Lauda Europe,Ryanair,2026-06-10T11:45:00.000,2026-06-10T15:10:00.000,BOH,ZAD
2026-06-13,FR 1240,,Ryanair,2026-06-13T07:10:00.000,2026-06-13T10:35:00.000,BOH,ZAD
2026-06-17,FR 1240,Lauda Europe,Ryanair,2026-06-17T11:45:00.000,2026-06-17T15:10:00.000,BOH,ZAD
2026-06-20,FR 1240,,Ryanair,2026-06-20T07:10:00.000,2026-06-20T10:35:00.000,BOH,ZAD
2026-06-24,FR 1240,Lauda Europe,Ryanair,2026-06-24T11:45:00.000,2026-06-24T15:10:00.000,BOH,ZAD
2026-06-27,FR 1240,,Ryanair,2026-06-27T07:10:00.000,2026-06-27T10:35:00.000,BOH,ZAD
2026-07-01,FR 1240,Lauda Europe,Ryanair,2026-07-01T11:45:00.000,2026-07-01T15:10:00.000,BOH,ZAD
2026-07-04,FR 1240,,Ryanair,2026-07-04T07:10:00.000,2026-07-04T10:35:00.000,BOH,ZAD
2026-07-08,FR 1240,Lauda Europe,Ryanair,2026-07-08T11:45:00.000,2026-07-08T15:10:00.000,BOH,ZAD
2026-07-11,FR 1240,,Ryanair,2026-07-11T07:10:00.000,2026-07-11T10:35:00.000,BOH,ZAD
2026-07-15,FR 1240,Lauda Europe,Ryanair,2026-07-15T11:45:00.000,2026-07-15T15:10:00.000,BOH,ZAD
2026-07-18,FR 1240,,Ryanair,2026-07-18T07:10:00.000,2026-07-18T10:35:00.000,BOH,ZAD
2026-07-22,FR 1240,Lauda Europe,Ryanair,2026-07-22T11:45:00.000,2026-07-22T15:10:00.000,BOH,ZAD
2026-07-25,FR 1240,,Ryanair,2026-07-25T07:10:00.000,2026-07-25T10:35:00.000,BOH,ZAD
2026-07-29,FR 1240,Lauda Europe,Ryanair,2026-07-29T11:45:00.000,2026-07-29T15:10:00.000,BOH,ZAD
2026-08-01,FR 1240,,Ryanair,2026-08-01T07:10:00.000,2026-08-01T10:35:00.000,BOH,ZAD
2026-08-05,FR 1240,Lauda Europe,Ryanair,2026-08-05T11:45:00.000,2026-08-05T15:10:00.000,BOH,ZAD
2026-08-08,FR 1240,,Ryanair,2026-08-08T07:10:00.000,2026-08-08T10:35:00.000,BOH,ZAD
2026-08-12,FR 1240,Lauda Europe,Ryanair,2026-08-12T11:45:00.000,2026-08-12T15:10:00.000,BOH,ZAD
2026-08-15,FR 1240,,Ryanair,2026-08-15T07:10:00.000,2026-08-15T10:35:00.000,BOH,ZAD
2026-08-19,FR 1240,Lauda Europe,Ryanair,2026-08-19T11:45:00.000,2026-08-19T15:10:00.000,BOH,ZAD
2026-08-22,FR 1240,,Ryanair,2026-08-22T07:10:00.000,2026-08-22T10:35:00.000,BOH,ZAD
2026-08-26,FR 1240,Lauda Europe,Ryanair,2026-08-26T11:45:00.000,2026-08-26T15:10:00.000,BOH,ZAD
2026-08-29,FR 1240,,Ryanair,2026-08-29T07:10:00.000,2026-08-29T10:35:00.000,BOH,ZAD
