date,flight_number,airline_code,airline_name,arrival_time,origin_code,origin_name
2026-02-27,FR3945,FR,Ryanair,12:20,FAO,Faro
2026-02-27,FR3949,FR,Ryanair,14:10,ALC,Alicante
2026-02-27,U22649,U2,easyJet,16:10,GVA,Geneva
2026-02-27,LS3602,LS,Jet2,17:05,ACE,Lanzarote Island
2026-02-27,FR5945,FR,Ryanair,19:55,AGP,Málaga
2026-02-27,FR5524,FR,Ryanair,21:00,KRK,Kraków
2026-02-27,RK1133,RK,Ryanair UK,21:10,EDI,Edinburgh
2026-02-27,FR1179,FR,Ryanair,23:05,TFS,Tenerife Island
2026-02-28,FR5954,FR,Ryanair,07:30,AGP,Málaga
2026-02-28,U21445,U2,easyJet,08:30,GVA,Geneva
2026-02-28,FR3318,FR,Ryanair,13:25,WRO,Wrocław
2026-02-28,FR6765,FR,Ryanair,15:35,LPA,Gran Canaria Island
2026-02-28,U22696,U2,easyJet,15:40,GVA,Geneva
2026-02-28,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-02-28,FR3949,FR,Ryanair,22:20,ALC,Alicante
2026-03-01,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-01,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-01,FR5524,FR,Ryanair,12:35,KRK,Kraków
2026-03-01,FR3949,FR,Ryanair,16:45,ALC,Alicante
2026-03-01,U22969,U2,easyJet,16:50,GVA,Geneva
2026-03-01,LS3686,LS,Jet2,17:15,FUE,Fuerteventura Island
2026-03-01,FR5954,FR,Ryanair,17:45,AGP,Málaga
2026-03-01,RK1133,RK,Ryanair UK,18:30,EDI,Edinburgh
2026-03-01,FR3945,FR,Ryanair,20:10,FAO,Faro
2026-03-01,FR1179,FR,Ryanair,22:35,TFS,Tenerife Island
2026-03-02,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-02,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-02,U22649,U2,easyJet,12:10,GVA,Geneva
2026-03-02,FR3318,FR,Ryanair,14:55,WRO,Wrocław
2026-03-02,LS3602,LS,Jet2,15:40,ACE,Lanzarote Island
2026-03-02,FR3971,FR,Ryanair,16:05,ACE,Lanzarote Island
2026-03-02,LS3624,LS,Jet2,17:55,FNC,Funchal
2026-03-02,FR3949,FR,Ryanair,22:50,ALC,Alicante
2026-03-03,U22649,U2,easyJet,15:40,GVA,Geneva
2026-03-03,LS3672,LS,Jet2,16:20,TFS,Tenerife Island
2026-03-03,LS3610,LS,Jet2,17:25,AGA,Agadir
2026-03-03,FR5945,FR,Ryanair,17:45,AGP,Málaga
2026-03-03,FR3949,FR,Ryanair,19:15,ALC,Alicante
2026-03-05,FR5945,FR,Ryanair,07:40,AGP,Málaga
2026-03-05,RK1133,RK,Ryanair UK,09:35,EDI,Edinburgh
2026-03-05,FR3949,FR,Ryanair,10:10,ALC,Alicante
2026-03-05,FR3318,FR,Ryanair,14:05,WRO,Wrocław
2026-03-05,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-05,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-03-05,FR8315,FR,Ryanair,18:10,MLA,Luqa
2026-03-05,LS3644,LS,Jet2,19:25,LPA,Gran Canaria Island
2026-03-05,FR5524,FR,Ryanair,20:55,KRK,Kraków
2026-03-06,FR3945,FR,Ryanair,12:20,FAO,Faro
2026-03-06,FR3949,FR,Ryanair,14:10,ALC,Alicante
2026-03-06,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-06,LS3602,LS,Jet2,17:05,ACE,Lanzarote Island
2026-03-06,FR5945,FR,Ryanair,19:55,AGP,Málaga
2026-03-06,FR5524,FR,Ryanair,21:00,KRK,Kraków
2026-03-06,RK1133,RK,Ryanair UK,21:10,EDI,Edinburgh
2026-03-06,FR1179,FR,Ryanair,23:05,TFS,Tenerife Island
2026-03-07,FR5954,FR,Ryanair,07:30,AGP,Málaga
2026-03-07,U21445,U2,easyJet,08:30,GVA,Geneva
2026-03-07,FR3318,FR,Ryanair,13:25,WRO,Wrocław
2026-03-07,FR6765,FR,Ryanair,15:35,LPA,Gran Canaria Island
2026-03-07,U22696,U2,easyJet,15:40,GVA,Geneva
2026-03-07,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-03-07,FR3949,FR,Ryanair,22:20,ALC,Alicante
2026-03-08,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-08,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-08,FR5524,FR,Ryanair,12:35,KRK,Kraków
2026-03-08,FR3949,FR,Ryanair,16:45,ALC,Alicante
2026-03-08,U22969,U2,easyJet,16:50,GVA,Geneva
2026-03-08,LS3686,LS,Jet2,17:15,FUE,Fuerteventura Island
2026-03-08,FR5954,FR,Ryanair,17:45,AGP,Málaga
2026-03-08,RK1133,RK,Ryanair UK,18:30,EDI,Edinburgh
2026-03-08,FR3945,FR,Ryanair,20:10,FAO,Faro
2026-03-08,FR1179,FR,Ryanair,22:35,TFS,Tenerife Island
2026-03-09,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-09,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-09,U22649,U2,easyJet,12:10,GVA,Geneva
2026-03-09,FR3318,FR,Ryanair,14:55,WRO,Wrocław
2026-03-09,LS3602,LS,Jet2,15:40,ACE,Lanzarote Island
2026-03-09,FR3971,FR,Ryanair,16:05,ACE,Lanzarote Island
2026-03-09,LS3624,LS,Jet2,17:55,FNC,Funchal
2026-03-09,FR3949,FR,Ryanair,22:50,ALC,Alicante
2026-03-10,U22649,U2,easyJet,15:40,GVA,Geneva
2026-03-10,LS3672,LS,Jet2,16:20,TFS,Tenerife Island
2026-03-10,LS3610,LS,Jet2,17:25,AGA,Agadir
2026-03-10,FR5945,FR,Ryanair,17:45,AGP,Málaga
2026-03-10,FR3949,FR,Ryanair,19:15,ALC,Alicante
2026-03-11,LS3608,LS,Jet2,19:30,AYT,Antalya
2026-03-12,FR5945,FR,Ryanair,07:40,AGP,Málaga
2026-03-12,RK1133,RK,Ryanair UK,09:35,EDI,Edinburgh
2026-03-12,FR3949,FR,Ryanair,10:10,ALC,Alicante
2026-03-12,FR3318,FR,Ryanair,14:05,WRO,Wrocław
2026-03-12,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-12,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-03-12,FR8315,FR,Ryanair,18:10,MLA,Luqa
2026-03-12,LS3644,LS,Jet2,19:25,LPA,Gran Canaria Island
2026-03-12,FR5524,FR,Ryanair,20:55,KRK,Kraków
2026-03-13,FR3945,FR,Ryanair,12:20,FAO,Faro
2026-03-13,FR3949,FR,Ryanair,14:10,ALC,Alicante
2026-03-13,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-13,LS3602,LS,Jet2,17:05,ACE,Lanzarote Island
2026-03-13,FR5945,FR,Ryanair,19:55,AGP,Málaga
2026-03-13,FR5524,FR,Ryanair,21:00,KRK,Kraków
2026-03-13,RK1133,RK,Ryanair UK,21:10,EDI,Edinburgh
2026-03-13,FR1179,FR,Ryanair,23:05,TFS,Tenerife Island
2026-03-14,FR5954,FR,Ryanair,07:30,AGP,Málaga
2026-03-14,U21445,U2,easyJet,08:30,GVA,Geneva
2026-03-14,FR3318,FR,Ryanair,13:25,WRO,Wrocław
2026-03-14,FR6765,FR,Ryanair,15:35,LPA,Gran Canaria Island
2026-03-14,U22696,U2,easyJet,15:40,GVA,Geneva
2026-03-14,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-03-14,FR3949,FR,Ryanair,22:20,ALC,Alicante
2026-03-15,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-15,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-15,FR5524,FR,Ryanair,12:35,KRK,Kraków
2026-03-15,FR3949,FR,Ryanair,16:45,ALC,Alicante
2026-03-15,U22969,U2,easyJet,16:50,GVA,Geneva
2026-03-15,LS3686,LS,Jet2,17:15,FUE,Fuerteventura Island
2026-03-15,FR5954,FR,Ryanair,17:45,AGP,Málaga
2026-03-15,RK1133,RK,Ryanair UK,18:30,EDI,Edinburgh
2026-03-15,FR3945,FR,Ryanair,20:10,FAO,Faro
2026-03-15,FR1179,FR,Ryanair,22:35,TFS,Tenerife Island
2026-03-16,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-16,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-16,U22649,U2,easyJet,12:10,GVA,Geneva
2026-03-16,FR3318,FR,Ryanair,14:55,WRO,Wrocław
2026-03-16,LS3602,LS,Jet2,15:40,ACE,Lanzarote Island
2026-03-16,FR3971,FR,Ryanair,16:05,ACE,Lanzarote Island
2026-03-16,LS3624,LS,Jet2,17:55,FNC,Funchal
2026-03-16,FR3949,FR,Ryanair,22:50,ALC,Alicante
2026-03-17,FR9911,FR,Ryanair,13:50,GRO,Girona
2026-03-17,U22649,U2,easyJet,15:40,GVA,Geneva
2026-03-17,LS3672,LS,Jet2,16:20,TFS,Tenerife Island
2026-03-17,LS3610,LS,Jet2,17:25,AGA,Agadir
2026-03-17,FR5945,FR,Ryanair,17:45,AGP,Málaga
2026-03-17,FR3949,FR,Ryanair,19:15,ALC,Alicante
2026-03-17,FR828,FR,Ryanair,20:45,PMI,Palma De Mallorca
2026-03-18,LS3608,LS,Jet2,19:30,AYT,Antalya
2026-03-18,FR5945,FR,Ryanair,20:20,AGP,Málaga
2026-03-19,FR5945,FR,Ryanair,07:40,AGP,Málaga
2026-03-19,FR9911,FR,Ryanair,08:45,GRO,Girona
2026-03-19,RK1133,RK,Ryanair UK,09:35,EDI,Edinburgh
2026-03-19,FR3949,FR,Ryanair,10:10,ALC,Alicante
2026-03-19,FR3318,FR,Ryanair,14:05,WRO,Wrocław
2026-03-19,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-19,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-03-19,FR8315,FR,Ryanair,18:10,MLA,Luqa
2026-03-19,LS3644,LS,Jet2,19:25,LPA,Gran Canaria Island
2026-03-19,FR5524,FR,Ryanair,20:55,KRK,Kraków
2026-03-19,FR828,FR,Ryanair,21:05,PMI,Palma De Mallorca
2026-03-20,FR3945,FR,Ryanair,12:20,FAO,Faro
2026-03-20,FR3949,FR,Ryanair,14:10,ALC,Alicante
2026-03-20,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-20,LS3602,LS,Jet2,17:05,ACE,Lanzarote Island
2026-03-20,FR5945,FR,Ryanair,19:55,AGP,Málaga
2026-03-20,FR5524,FR,Ryanair,21:00,KRK,Kraków
2026-03-20,RK1133,RK,Ryanair UK,21:10,EDI,Edinburgh
2026-03-20,FR1179,FR,Ryanair,23:05,TFS,Tenerife Island
2026-03-21,FR5954,FR,Ryanair,07:30,AGP,Málaga
2026-03-21,U21445,U2,easyJet,08:30,GVA,Geneva
2026-03-21,FR3318,FR,Ryanair,13:25,WRO,Wrocław
2026-03-21,FR6765,FR,Ryanair,15:35,LPA,Gran Canaria Island
2026-03-21,U22696,U2,easyJet,15:40,GVA,Geneva
2026-03-21,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-03-21,FR3949,FR,Ryanair,22:20,ALC,Alicante
2026-03-22,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-22,FR8315,FR,Ryanair,08:00,MLA,Luqa
2026-03-22,FR5524,FR,Ryanair,12:35,KRK,Kraków
2026-03-22,FR3949,FR,Ryanair,16:45,ALC,Alicante
2026-03-22,U22969,U2,easyJet,16:50,GVA,Geneva
2026-03-22,LS3686,LS,Jet2,17:15,FUE,Fuerteventura Island
2026-03-22,FR5954,FR,Ryanair,17:45,AGP,Málaga
2026-03-22,RK1133,RK,Ryanair UK,18:30,EDI,Edinburgh
2026-03-22,FR3945,FR,Ryanair,20:10,FAO,Faro
2026-03-22,FR1179,FR,Ryanair,22:35,TFS,Tenerife Island
2026-03-23,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-23,FR5524,FR,Ryanair,08:00,KRK,Kraków
2026-03-23,U22649,U2,easyJet,12:10,GVA,Geneva
2026-03-23,FR3318,FR,Ryanair,14:55,WRO,Wrocław
2026-03-23,LS3602,LS,Jet2,15:40,ACE,Lanzarote Island
2026-03-23,FR3971,FR,Ryanair,16:05,ACE,Lanzarote Island
2026-03-23,LS3624,LS,Jet2,17:55,FNC,Funchal
2026-03-23,FR3949,FR,Ryanair,22:50,ALC,Alicante
2026-03-24,FR9911,FR,Ryanair,13:50,GRO,Girona
2026-03-24,U22649,U2,easyJet,15:40,GVA,Geneva
2026-03-24,LS3672,LS,Jet2,16:20,TFS,Tenerife Island
2026-03-24,LS3610,LS,Jet2,17:25,AGA,Agadir
2026-03-24,FR5945,FR,Ryanair,17:45,AGP,Málaga
2026-03-24,FR3949,FR,Ryanair,19:15,ALC,Alicante
2026-03-24,FR828,FR,Ryanair,20:45,PMI,Palma De Mallorca
2026-03-25,LS3608,LS,Jet2,19:30,AYT,Antalya
2026-03-25,FR5945,FR,Ryanair,20:20,AGP,Málaga
2026-03-26,FR5945,FR,Ryanair,07:40,AGP,Málaga
2026-03-26,FR9911,FR,Ryanair,08:45,GRO,Girona
2026-03-26,RK1133,RK,Ryanair UK,09:35,EDI,Edinburgh
2026-03-26,FR3949,FR,Ryanair,10:10,ALC,Alicante
2026-03-26,FR3318,FR,Ryanair,14:05,WRO,Wrocław
2026-03-26,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-26,FR8315,FR,Ryanair,18:10,MLA,Luqa
2026-03-26,LS3644,LS,Jet2,19:25,LPA,Gran Canaria Island
2026-03-26,FR5524,FR,Ryanair,20:55,KRK,Kraków
2026-03-26,FR828,FR,Ryanair,21:05,PMI,Palma De Mallorca
2026-03-27,FR3945,FR,Ryanair,12:20,FAO,Faro
2026-03-27,FR3949,FR,Ryanair,14:10,ALC,Alicante
2026-03-27,U22649,U2,easyJet,16:10,GVA,Geneva
2026-03-27,LS3602,LS,Jet2,17:05,ACE,Lanzarote Island
2026-03-27,LS3672,LS,Jet2,18:55,TFS,Tenerife Island
2026-03-27,FR5945,FR,Ryanair,19:55,AGP,Málaga
2026-03-27,FR5524,FR,Ryanair,21:00,KRK,Kraków
2026-03-27,RK1133,RK,Ryanair UK,21:10,EDI,Edinburgh
2026-03-27,FR1179,FR,Ryanair,23:05,TFS,Tenerife Island
2026-03-28,FR5954,FR,Ryanair,07:30,AGP,Málaga
2026-03-28,U21445,U2,easyJet,08:30,GVA,Geneva
2026-03-28,FR3318,FR,Ryanair,13:25,WRO,Wrocław
2026-03-28,FR6765,FR,Ryanair,15:35,LPA,Gran Canaria Island
2026-03-28,U22696,U2,easyJet,15:40,GVA,Geneva
2026-03-28,LS3676,LS,Jet2,17:30,TFS,Tenerife Island
2026-03-28,FR3949,FR,Ryanair,22:20,ALC,Alicante
2026-03-28,LS3692,LS,Jet2,23:30,AYT,Antalya
2026-03-29,FR3960,FR,Ryanair,08:30,ALC,Alicante
2026-03-29,FR5947,FR,Ryanair,12:20,RMU,Murcia
2026-03-29,FR828,FR,Ryanair,13:00,PMI,Palma De Mallorca
2026-03-29,FR3949,FR,Ryanair,14:15,ALC,Alicante
2026-03-29,FR5945,FR,Ryanair,15:50,AGP,Málaga
2026-03-29,FR8947,FR,Ryanair,17:05,FUE,Fuerteventura Island
2026-03-29,LS3644,LS,Jet2,17:30,LPA,Gran Canaria Island
2026-03-29,RK1133,RK,Ryanair UK,17:55,EDI,Edinburgh
2026-03-29,LS3686,LS,Jet2,18:10,FUE,Fuerteventura Island
2026-03-29,FR3945,FR,Ryanair,23:00,FAO,Faro
2026-03-29,FR5943,FR,Ryanair,23:00,PMI,Palma De Mallorca
2026-03-30,FR3949,FR,Ryanair,12:15,ALC,Alicante
2026-03-30,LS3620,LS,Jet2,12:55,FAO,Faro
2026-03-30,FR5945,FR,Ryanair,15:45,AGP,Málaga
2026-03-30,FR7624,FR,Ryanair,15:55,FAO,Faro
2026-03-30,FR6948,FR,Ryanair,16:55,GRO,Girona
2026-03-30,FR3971,FR,Ryanair,17:25,ACE,Lanzarote Island
2026-03-30,LS3602,LS,Jet2,17:25,ACE,Lanzarote Island
2026-03-30,FR3945,FR,Ryanair,19:45,FAO,Faro
2026-03-30,FR828,FR,Ryanair,23:00,PMI,Palma De Mallorca
2026-03-30,FR3960,FR,Ryanair,23:05,ALC,Alicante
2026-03-31,FR3945,FR,Ryanair,09:35,FAO,Faro
